"","draft_year","overall_pick","draft_team","player_name","college","years_active","total_games_played","total_minutes_played","total_points","total_rebounds","total_assists","fg_pct","fg3_pct","ft_pct","mpg","ppg","rpg","apg","win_shares","ws_per_48","bpm","vorp","educational_prestige","pick_bucket","career_bucket","team_conference"
"20",1989,20,"CHI","Jeff Sanders","Georgia Southern University",4,55,462,112,103,25,0.395,NA,0.609,8.4,2,1.9,0.5,-0.1,-0.008,-6.3,-0.5,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"21",1989,21,"UTA","Blue Edwards","East Carolina University",10,704,18409,7585,2376,1409,0.475,0.335,0.779,26.1,10.8,3.4,2,24.2,0.063,-1.6,1.9,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"22",1989,22,"POR","Byron Irvin","Missouri",3,87,849,451,123,73,0.471,0.35,0.722,9.8,5.2,1.4,0.8,2.1,0.121,0.6,0.6,"OtherCollege","MidtoLateFirst","ShortCareer","Western"
"23",1989,23,"ATL","Roy Marble","Iowa",2,29,194,55,32,12,0.257,0,0.594,6.7,1.9,1.1,0.4,-0.5,-0.122,-8.8,-0.3,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"24",1989,24,"PHO","Anthony Cook","Arizona",4,116,1499,418,428,34,0.439,0,0.524,12.9,3.6,3.7,0.3,1,0.033,-3.7,-0.7,"OtherCollege","MidtoLateFirst","ShortCareer","Western"
"25",1989,25,"CLE","John Morton","Seton Hall",3,128,1879,609,161,342,0.386,0.224,0.787,14.7,4.8,1.3,2.7,0.5,0.013,-3,-0.5,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"26",1989,26,"LAL","Vlade Divac",NA,16,1134,33838,13398,9326,3541,0.495,0.235,0.692,29.8,11.8,8.2,3.1,96.4,0.137,2.3,36.3,"NonCollegiate","MidtoLateFirst","LongCareer","Western"
"27",1989,27,"DET","Kenny Battle","Illinois",4,134,1795,627,327,106,0.504,0.133,0.725,13.4,4.7,2.4,0.8,3.7,0.098,-0.4,0.7,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"28",1989,28,"MIA","Sherman Douglas","Syracuse",12,765,21148,8425,1672,4536,0.484,0.267,0.678,27.6,11,2.2,5.9,32.9,0.075,-0.3,9.2,"OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"29",1989,29,"NOP","Dyron Nix","Tennessee",1,20,109,39,26,5,0.359,NA,0.688,5.5,2,1.3,0.3,0,-0.015,-5.8,-0.1,"OtherCollege","MidtoLateFirst","ShortCareer","Western"
"30",1989,30,"MIL","Frank Kornet","Vanderbilt",2,89,595,171,95,30,0.369,0.263,0.596,6.7,1.9,1.1,0.3,0,-0.004,-6.2,-0.6,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"31",1989,31,"LAC","Jeff Martin","Murray State",2,143,2685,956,290,109,0.417,0.282,0.694,18.8,6.7,2,0.8,2.1,0.038,-3.2,-0.8,"OtherCollege","SecondRound","ShortCareer","Western"
"32",1989,32,"BRK","Stanley Brundy","DePaul",1,16,128,37,26,3,0.5,NA,0.389,8,2.3,1.6,0.2,0.2,0.057,-3.1,0,"OtherCollege","SecondRound","ShortCareer","Eastern"
"33",1989,33,"LAC","Jay Edwards","Indiana",1,4,26,7,2,4,0.429,0,0.333,6.5,1.8,0.5,1,0,0.022,-4,0,"PowerSchool","SecondRound","ShortCareer","Western"
"34",1989,34,"MIN","Gary Leonard","Missouri",3,31,149,44,34,2,0.459,0,0.5,4.8,1.4,1.1,0.1,0.1,0.029,-6.9,-0.2,"OtherCollege","SecondRound","ShortCareer","Western"
"35",1989,35,"DAL","Pat Durham","Colorado State",2,64,930,323,108,57,0.469,0.192,0.667,14.5,5,1.7,0.9,0.7,0.037,-2,0,"OtherCollege","SecondRound","ShortCareer","Western"
"36",1989,36,"POR","Clifford Robinson","UConn",18,1380,42561,19591,6306,3094,0.438,0.356,0.689,30.8,14.2,4.6,2.2,89.7,0.101,0.5,26.6,"PowerSchool","SecondRound","LongCareer","Western"
"37",1989,37,"ORL","Michael Ansley","Alabama",3,149,2143,1026,621,67,0.513,NA,0.722,14.4,6.9,4.2,0.4,6.4,0.142,-1,0.6,"OtherCollege","SecondRound","ShortCareer","Eastern"
"38",1989,38,"MIN","Doug West","Villanova",12,676,16649,6477,1670,1292,0.481,0.191,0.801,24.6,9.6,2.5,1.9,17.7,0.051,-3,-4.2,"PowerSchool","SecondRound","LongCareer","Western"
"39",1989,39,"WAS","Ed Horton","Iowa",1,45,374,202,108,19,0.494,0,0.609,8.3,4.5,2.4,0.4,0.4,0.05,-4.9,-0.3,"OtherCollege","SecondRound","ShortCareer","Eastern"
"40",1989,40,"BOS","Dino Radja",NA,4,224,7308,3733,1883,356,0.497,0,0.735,32.6,16.7,8.4,1.6,14.3,0.094,-0.4,3,"NonCollegiate","SecondRound","AverageCareer","Eastern"
"41",1989,41,"WAS","Doug Roth","Tennessee",1,42,412,81,120,20,0.43,0,0.5,9.8,1.9,2.9,0.5,0.4,0.052,-5.3,-0.3,"OtherCollege","SecondRound","ShortCareer","Eastern"
"43",1989,43,"CLE","Chucky Brown","NC State",13,694,11962,4125,2148,549,0.491,0.227,0.699,17.2,5.9,3.1,0.8,19,0.076,-2.7,-2,"OtherCollege","SecondRound","LongCareer","Eastern"
"45",1989,45,"MIA","Scott Haffner","University of Evansville",2,50,609,213,55,89,0.403,0.13,0.667,12.2,4.3,1.1,1.8,-0.1,-0.012,-5.1,-0.5,"OtherCollege","SecondRound","ShortCareer","Eastern"
"46",1989,46,"PHO","Ricky Blanton","LSU",1,2,13,6,3,1,0.429,NA,NA,6.5,3,1.5,0.5,0,0.088,-0.3,0,"OtherCollege","SecondRound","ShortCareer","Western"
"49",1989,49,"ATL","Haywoode Workman","Oral Roberts",8,359,7202,1967,819,1410,0.419,0.323,0.764,20.1,5.5,2.3,3.9,10.7,0.071,-0.7,2.4,"OtherCollege","SecondRound","AverageCareer","Eastern"
"50",1989,50,"NYK","Brian Quinnett","Washington State",3,138,1530,474,224,76,0.414,0.326,0.677,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.6,"OtherCollege","SecondRound","ShortCareer","Eastern"
"51",1989,51,"PHO","Mike Morrison","Loyola (MD)",1,36,153,72,20,11,0.338,0.286,0.8,4.3,2,0.6,0.3,-0.3,-0.106,-10.5,-0.3,"OtherCollege","SecondRound","ShortCareer","Western"
"52",1989,52,"PHO","Greg Grant","Trenton State University",6,274,3350,767,248,751,0.383,0.281,0.71,12.2,2.8,0.9,2.7,1.6,0.023,-2.9,-0.8,"OtherCollege","SecondRound","AverageCareer","Western"
"55",1990,1,"BRK","Derrick Coleman","Syracuse",15,781,25903,12884,7232,1985,0.447,0.295,0.769,33.2,16.5,9.3,2.5,64.3,0.119,1.4,22.3,"OtherCollege","Top5","LongCareer","Eastern"
"56",1990,2,"OKC","Gary Payton","Oregon State",17,1335,47117,21813,5269,8966,0.466,0.317,0.729,35.3,16.3,3.9,6.7,145.5,0.148,3.3,62.5,"OtherCollege","Top5","LongCareer","Western"
"57",1990,3,"DEN","Mahmoud Abdul-Rauf","LSU",9,586,15628,8553,1087,2079,0.442,0.354,0.905,26.7,14.6,1.9,3.5,25.2,0.077,-0.8,4.5,"OtherCollege","Top5","LongCareer","Western"
"58",1990,4,"ORL","Dennis Scott","Georgia Tech",10,629,17983,8094,1774,1296,0.417,0.397,0.793,28.6,12.9,2.8,2.1,33.4,0.089,0.2,9.9,"OtherCollege","Top5","LongCareer","Eastern"
"59",1990,5,"NOP","Kendall Gill","Illinois",15,966,29481,12914,4002,2945,0.434,0.3,0.754,30.5,13.4,4.1,3,47.8,0.078,0.1,15.8,"OtherCollege","Top5","LongCareer","Western"
"60",1990,6,"MIN","Felton Spencer","Louisville",12,640,12298,3354,3436,213,0.484,0,0.658,19.2,5.2,5.4,0.3,20.9,0.081,-4.3,-7,"PowerSchool","Lottery","LongCareer","Western"
"61",1990,7,"SAC","Lionel Simmons","La Salle",7,454,13472,5833,2833,1498,0.433,0.305,0.771,29.7,12.8,6.2,3.3,16.9,0.06,0,6.7,"OtherCollege","Lottery","LongCareer","Western"
"62",1990,8,"LAC","Bo Kimble","Loyola Marymount",3,105,1336,574,162,98,0.386,0.291,0.728,12.7,5.5,1.5,0.9,0.1,0.004,-5.7,-1.2,"OtherCollege","Lottery","ShortCareer","Western"
"63",1990,9,"MIA","Willie Burton","Minnesota",8,316,6666,3243,932,393,0.424,0.345,0.786,21.1,10.3,2.9,1.2,9.1,0.065,-2.5,-0.9,"OtherCollege","Lottery","AverageCareer","Eastern"
"64",1990,10,"ATL","Rumeal Robinson","Michigan",6,336,6098,2546,606,1179,0.432,0.344,0.611,18.1,7.6,1.8,3.5,5.2,0.041,-1.5,0.8,"OtherCollege","Lottery","AverageCareer","Eastern"
"65",1990,11,"GSW","Tyrone Hill","Xavier",14,801,22388,7532,6854,647,0.502,0,0.643,28,9.4,8.6,0.8,56.2,0.12,-1.9,0.8,"OtherCollege","Lottery","LongCareer","Western"
"66",1990,12,"HOU","Alec Kessler","Georgia",4,210,2937,1084,751,81,0.426,0.417,0.744,14,5.2,3.6,0.4,2,0.033,-5.9,-2.8,"OtherCollege","Lottery","AverageCareer","Western"
"67",1990,13,"LAC","Loy Vaught","Michigan",11,689,16993,6984,4881,652,0.504,0.244,0.718,24.7,10.1,7.1,0.9,35.8,0.101,-1.5,2.2,"OtherCollege","Lottery","LongCareer","Western"
"68",1990,14,"SAC","Travis Mays","Texas",3,115,2964,1273,233,326,0.41,0.362,0.749,25.8,11.1,2,2.8,2.4,0.039,-2.6,-0.5,"OtherCollege","Lottery","ShortCareer","Western"
"69",1990,15,"MIA","Dave Jamerson","Ohio University",3,90,594,306,77,61,0.392,0.277,0.86,6.6,3.4,0.9,0.7,0.2,0.018,-3.9,-0.3,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"70",1990,16,"MIL","Terry Mills","Michigan",11,678,16422,7175,3680,891,0.457,0.384,0.781,24.2,10.6,5.4,1.3,33.3,0.097,-0.6,5.9,"OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"71",1990,17,"NYK","Jerrod Mustaf","Maryland",4,179,1902,721,452,99,0.449,0,0.648,10.6,4,2.5,0.6,1.7,0.043,-4.1,-1,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"72",1990,18,"SAC","Duane Causwell","Temple",11,541,9409,2648,2273,243,0.507,0.286,0.618,17.4,4.9,4.2,0.4,15.8,0.081,-2.3,-0.7,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"73",1990,19,"BOS","Dee Brown","Jacksonville University",12,608,16843,6758,1569,2227,0.436,0.357,0.825,27.7,11.1,2.6,3.7,33.4,0.095,0.8,11.6,"OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"74",1990,20,"MIN","Gerald Glass","Ole Miss",4,201,3347,1553,512,298,0.433,0.236,0.643,16.7,7.7,2.5,1.5,1.8,0.025,-1.9,0.1,"OtherCollege","MidtoLateFirst","AverageCareer","Western"
"75",1990,21,"PHO","Jayson Williams","St. John's",9,475,9805,3472,3584,287,0.44,0.125,0.606,20.6,7.3,7.5,0.6,20,0.098,-2.8,-2.1,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"76",1990,22,"BRK","Tate George","UConn",4,177,2019,736,180,325,0.414,0.071,0.82,11.4,4.2,1,1.8,1.3,0.032,-3.5,-0.8,"PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"77",1990,23,"SAC","Anthony Bonner","Saint Louis",6,318,7372,2199,1726,442,0.468,0.125,0.59,23.2,6.9,5.4,1.4,10.8,0.07,-2,0.1,"OtherCollege","MidtoLateFirst","AverageCareer","Western"
"78",1990,24,"SAS","Dwayne Schintzius","Florida",8,217,1950,587,536,93,0.404,0.125,0.638,9,2.7,2.5,0.4,1,0.024,-5,-1.5,"OtherCollege","MidtoLateFirst","AverageCareer","Western"
"79",1990,25,"POR","Alaa Abdelnaby","Duke",5,256,3200,1465,846,85,0.502,0,0.701,12.5,5.7,3.3,0.3,4.8,0.072,-3.8,-1.5,"PowerSchool","MidtoLateFirst","AverageCareer","Western"
"80",1990,26,"DET","Lance Blanks","Texas",3,142,1045,289,110,117,0.436,0.253,0.667,7.4,2,0.8,0.8,0.7,0.031,-3.2,-0.3,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"81",1990,27,"LAL","Elden Campbell","Clemson",15,1044,25776,10805,6116,1199,0.46,0.054,0.699,24.7,10.3,5.9,1.1,62.8,0.117,-0.5,9.5,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"82",1990,28,"GSW","Les Jepsen","Iowa",2,52,192,53,67,2,0.333,0,0.65,3.7,1,1.3,0,0.1,0.031,-8,-0.3,"OtherCollege","MidtoLateFirst","ShortCareer","Western"
"83",1990,29,"CHI","Toni Kukoč",NA,13,846,22212,9810,3555,3119,0.447,0.335,0.729,26.3,11.6,4.2,3.7,59.6,0.129,2.8,27.2,"NonCollegiate","MidtoLateFirst","LongCareer","Eastern"
"84",1990,30,"MIA","Carl Herrera","Houston",8,465,8042,2481,1690,261,0.476,0.143,0.643,17.3,5.3,3.6,0.6,9,0.054,-3.7,-3.4,"OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"85",1990,31,"PHO","Negele Knight","Dayton",6,276,4513,1699,351,780,0.436,0.263,0.73,16.4,6.2,1.3,2.8,4.2,0.044,-3,-1.1,"OtherCollege","SecondRound","AverageCareer","Western"
"86",1990,32,"PHI","Brian Oliver","Georgia Tech",4,118,1182,389,123,114,0.388,0.227,0.705,10,3.3,1,1,-0.5,-0.02,-5.9,-1.2,"OtherCollege","SecondRound","ShortCareer","Eastern"
"87",1990,33,"UTA","Walter Palmer","Dartmouth College",2,48,209,100,65,11,0.412,0,0.667,4.4,2.1,1.4,0.2,-0.1,-0.013,-6.7,-0.2,"OtherCollege","SecondRound","ShortCareer","Western"
"88",1990,34,"GSW","Kevin Pritchard","Kansas",4,94,1125,340,90,152,0.399,0.186,0.79,12,3.6,1,1.6,0.4,0.017,-4,-0.6,"PowerSchool","SecondRound","ShortCareer","Western"
"89",1990,35,"WAS","Greg Foster","Texas-El Paso",13,656,7974,2538,1691,351,0.44,0.225,0.748,12.2,3.9,2.6,0.5,5.6,0.033,-5.5,-7,"OtherCollege","SecondRound","LongCareer","Eastern"
"90",1990,36,"ATL","Trevor Wilson","UCLA",4,103,1609,591,353,99,0.456,0,0.567,15.6,5.7,3.4,1,0.8,0.023,-3.4,-0.6,"PowerSchool","SecondRound","ShortCareer","Eastern"
"91",1990,37,"WAS","A.J. English","Virginia Union University",2,151,3108,1502,315,320,0.435,0.138,0.778,20.6,9.9,2.1,2.1,1.1,0.017,-3.9,-1.5,"OtherCollege","SecondRound","ShortCareer","Eastern"
"92",1990,38,"OKC","Jud Buechler","Arizona",12,720,8444,2385,1266,560,0.433,0.366,0.633,11.7,3.3,1.8,0.8,16.5,0.094,-0.1,4,"OtherCollege","SecondRound","LongCareer","Western"
"93",1990,39,"NOP","Steve Scheffler","Purdue",7,174,918,331,180,26,0.558,0.2,0.759,5.3,1.9,1,0.1,2.9,0.153,-1.9,0,"OtherCollege","SecondRound","ShortCareer","Western"
"94",1990,40,"SAC","Bimbo Coles","Virginia Tech",14,852,20319,6628,1820,3313,0.425,0.267,0.811,23.8,7.8,2.1,3.9,27.4,0.065,-1.6,1.9,"OtherCollege","SecondRound","LongCareer","Western"
"95",1990,41,"ATL","Steve Bardo","Illinois",3,33,299,73,60,44,0.329,0.1,0.696,9.1,2.2,1.8,1.3,-0.1,-0.02,-4,-0.2,"OtherCollege","SecondRound","ShortCareer","Eastern"
"96",1990,42,"DEN","Marcus Liberty","Illinois",4,267,4568,1942,925,244,0.417,0.34,0.664,17.1,7.3,3.5,0.9,4,0.042,-2.6,-0.7,"OtherCollege","SecondRound","AverageCareer","Western"
"97",1990,43,"SAS","Tony Massenburg","Maryland",13,683,12291,4238,2964,266,0.47,0.091,0.705,18,6.2,4.3,0.4,15.6,0.061,-4.5,-7.8,"OtherCollege","SecondRound","LongCareer","Western"
"98",1990,44,"MIL","Steve Henson","Kansas State",7,238,2282,739,176,465,0.403,0.432,0.869,9.6,3.1,0.7,2,3.8,0.079,-1.8,0.1,"OtherCollege","SecondRound","AverageCareer","Eastern"
"99",1990,45,"IND","Antonio Davis","Texas-El Paso",13,903,26084,9041,6755,1017,0.448,0.087,0.727,28.9,10,7.5,1.1,59.6,0.11,-1.3,4.4,"OtherCollege","SecondRound","LongCareer","Eastern"
"100",1990,46,"IND","Kenny Williams","Elizabeth City State University",4,260,2918,1247,693,161,0.511,0,0.68,11.2,4.8,2.7,0.6,7.4,0.122,0.1,1.5,"OtherCollege","SecondRound","AverageCareer","Eastern"
"101",1990,47,"PHI","Derek Strong","Xavier",10,456,8548,3088,2213,291,0.43,0.18,0.786,18.7,6.8,4.9,0.6,18.5,0.104,-2.1,-0.3,"OtherCollege","SecondRound","LongCareer","Eastern"
"102",1990,48,"PHO","Cedric Ceballos","Cal State Fullerton",11,609,14712,8693,3258,723,0.5,0.309,0.753,24.2,14.3,5.3,1.2,40.4,0.132,0.7,10.1,"OtherCollege","SecondRound","LongCareer","Western"
"104",1990,50,"PHO","Miloš Babić","Tennessee Technological University",2,21,87,37,20,10,0.375,NA,0.65,4.1,1.8,1,0.5,-0.1,-0.028,-5.9,-0.1,"OtherCollege","SecondRound","ShortCareer","Western"
"105",1990,51,"LAL","Tony Smith","Marquette",9,457,7295,2504,735,881,0.431,0.307,0.69,16,5.5,1.6,1.9,6.7,0.044,-2,0,"OtherCollege","SecondRound","LongCareer","Western"
"106",1990,52,"CLE","Stefano Rusconi",NA,1,7,30,8,6,3,0.333,NA,0.4,4.3,1.1,0.9,0.4,-0.1,-0.104,-11.4,-0.1,"NonCollegiate","SecondRound","ShortCareer","Eastern"
"108",1990,54,"SAS","Sean Higgins","Michigan",6,220,3334,1375,402,226,0.428,0.321,0.85,15.2,6.3,1.8,1,0.4,0.006,-4.7,-2.3,"OtherCollege","SecondRound","AverageCareer","Western"
"109",1991,1,"NOP","Larry Johnson","UNLV",10,707,25685,11450,5300,2298,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,1.4,22,"OtherCollege","Top5","LongCareer","Western"
"110",1991,2,"BRK","Kenny Anderson","Georgia Tech",14,858,25868,10789,2641,5196,0.421,0.346,0.79,30.1,12.6,3.1,6.1,62.5,0.116,1.4,21.9,"OtherCollege","Top5","LongCareer","Eastern"
"111",1991,3,"SAC","Billy Owens","Syracuse",10,600,17619,7026,4016,1704,0.481,0.291,0.629,29.4,11.7,6.7,2.8,28.6,0.078,-0.2,7.8,"OtherCollege","Top5","LongCareer","Western"
"112",1991,4,"DEN","Dikembe Mutombo","Georgetown",18,1196,36791,11729,12359,1240,0.518,0,0.684,30.8,9.8,10.3,1,117,0.153,1.7,33.9,"OtherCollege","Top5","LongCareer","Western"
"113",1991,5,"MIA","Steve Smith","Michigan State",14,942,28855,13430,3060,2922,0.44,0.358,0.845,30.6,14.3,3.2,3.1,83.7,0.139,1.4,24.6,"OtherCollege","Top5","LongCareer","Eastern"
"114",1991,6,"DAL","Doug Smith","Missouri",5,296,5833,2356,1234,400,0.425,0.083,0.773,19.7,8,4.2,1.4,3,0.024,-3.6,-2.4,"OtherCollege","Lottery","AverageCareer","Western"
"115",1991,7,"MIN","Luc Longley","New Mexico",10,567,12006,4090,2794,836,0.462,0,0.76,21.2,7.2,4.9,1.5,17.5,0.07,-2.6,-1.9,"OtherCollege","Lottery","LongCareer","Western"
"116",1991,8,"DEN","Mark Macon","Temple",6,251,5018,1685,467,428,0.384,0.27,0.735,20,6.7,1.9,1.7,0.1,0.001,-3.7,-2.2,"OtherCollege","Lottery","AverageCareer","Western"
"117",1991,9,"ATL","Stacey Augmon","UNLV",15,1001,21658,7990,3216,1561,0.469,0.152,0.728,21.6,8,3.2,1.6,43.8,0.097,-0.2,9.8,"OtherCollege","Lottery","LongCareer","Eastern"
"118",1991,10,"ORL","Bison Dele","Arizona",8,413,10004,4536,2564,440,0.528,0.143,0.691,24.2,11,6.2,1.1,22.8,0.109,-0.6,3.4,"OtherCollege","Lottery","AverageCareer","Eastern"
"119",1991,11,"CLE","Terrell Brandon","Oregon",11,724,21545,9994,2174,4407,0.448,0.355,0.873,29.8,13.8,3,6.1,65.9,0.147,3.6,30.3,"OtherCollege","Lottery","LongCareer","Eastern"
"120",1991,12,"NYK","Greg Anthony","UNLV",11,757,15850,5497,1417,2997,0.403,0.349,0.733,20.9,7.3,1.9,4,35.9,0.109,1.3,13.3,"OtherCollege","Lottery","LongCareer","Eastern"
"121",1991,13,"IND","Dale Davis","Clemson",16,1094,29606,8706,8605,978,0.53,0,0.562,27.1,8,7.9,0.9,86.9,0.141,0.5,18.4,"OtherCollege","Lottery","LongCareer","Eastern"
"122",1991,14,"OKC","Rich King","Nebraska",4,72,309,135,74,21,0.393,0,0.662,4.3,1.9,1,0.3,0.2,0.036,-6.9,-0.4,"OtherCollege","Lottery","ShortCareer","Western"
"123",1991,15,"ATL","Anthony Avent","Seton Hall",6,352,6729,1958,1584,278,0.403,0,0.686,19.1,5.6,4.5,0.8,0.3,0.002,-5.7,-6.4,"OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"124",1991,16,"GSW","Chris Gatling","Old Dominion",11,700,13760,7232,3741,461,0.513,0.249,0.66,19.7,10.3,5.3,0.7,32.1,0.112,-1.1,3.2,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"125",1991,17,"GSW","Victor Alexander","Iowa State",5,286,5755,2542,1384,257,0.518,0.286,0.634,20.1,8.9,4.8,0.9,8.8,0.073,-2.2,-0.3,"OtherCollege","MidtoLateFirst","AverageCareer","Western"
"126",1991,18,"MIL","Kevin Brooks","Louisiana",3,126,1031,417,141,48,0.401,0.2,0.859,8.2,3.3,1.1,0.4,-0.1,-0.004,-5.9,-1,"OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"127",1991,19,"WAS","LaBradford Smith","Louisville",3,183,3131,1218,271,394,0.432,0.298,0.813,17.1,6.7,1.5,2.2,1.5,0.024,-3.6,-1.2,"PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"128",1991,20,"HOU","John Turner","Phillips University",1,42,345,117,78,12,0.439,NA,0.525,8.2,2.8,1.9,0.3,-0.1,-0.021,-7.9,-0.5,"OtherCollege","MidtoLateFirst","ShortCareer","Western"
"129",1991,21,"UTA","Eric Murdock","Providence",9,508,11882,5118,1261,2467,0.438,0.343,0.786,23.4,10.1,2.5,4.9,25.6,0.103,2,12.1,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"130",1991,22,"LAC","LeRon Ellis","Syracuse",3,91,857,277,220,29,0.433,NA,0.613,9.4,3,2.4,0.3,1.2,0.069,-3.5,-0.3,"OtherCollege","MidtoLateFirst","ShortCareer","Western"
"131",1991,23,"ORL","Stanley Roberts","LSU",8,300,5869,2555,1549,189,0.499,0,0.514,19.6,8.5,5.2,0.6,8.1,0.066,-3.4,-2,"OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
