"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1355","23","BOS","113","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1356","24","PHI","328","NonCollegiate","MidtoLateFirst","AverageCareer","Eastern"
"1357","25","LAC","21","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1358","26","PHI","256","NonCollegiate","MidtoLateFirst","AverageCareer","Eastern"
"1359","27","TOR","400","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1360","28","PHO","148","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1361","29","SAS","320","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1362","30","GSW","199","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1363","31","BOS","107","OtherCollege","SecondRound","ShortCareer","Eastern"
"1364","32","LAL","360","NonCollegiate","SecondRound","AverageCareer","Western"
"1365","33","LAC","183","PowerSchool","SecondRound","ShortCareer","Western"
"1366","34","PHO","133","PowerSchool","SecondRound","ShortCareer","Western"
"1367","36","MIL","333","OtherCollege","SecondRound","AverageCareer","Eastern"
"1368","37","HOU","6","PowerSchool","SecondRound","ShortCareer","Western"
"1369","38","MIL","199","OtherCollege","SecondRound","ShortCareer","Eastern"
"1370","40","NOP","7","OtherCollege","SecondRound","ShortCareer","Western"
"1371","41","ORL","19","OtherCollege","SecondRound","ShortCareer","Eastern"
"1372","42","UTA","89","OtherCollege","SecondRound","ShortCareer","Western"
"1373","43","HOU","19","NonCollegiate","SecondRound","ShortCareer","Western"
"1374","45","BOS","26","OtherCollege","SecondRound","ShortCareer","Eastern"
"1375","46","DAL","22","OtherCollege","SecondRound","ShortCareer","Western"
"1376","47","ORL","243","OtherCollege","SecondRound","AverageCareer","Eastern"
"1377","48","CHI","98","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1378","49","DET","9","OtherCollege","SecondRound","ShortCareer","Eastern"
"1379","50","IND","305","OtherCollege","SecondRound","AverageCareer","Eastern"
"1380","51","BOS","3","OtherCollege","SecondRound","ShortCareer","Eastern"
"1381","52","UTA","18","OtherCollege","SecondRound","ShortCareer","Western"
"1382","53","DEN","13","NonCollegiate","SecondRound","ShortCareer","Western"
"1383","54","ATL","58","OtherCollege","SecondRound","ShortCareer","Eastern"
"1384","55","BRK","5","OtherCollege","SecondRound","ShortCareer","Eastern"
"1385","56","DEN","25","PowerSchool","SecondRound","ShortCareer","Western"
"1386","58","BOS","202","OtherCollege","SecondRound","AverageCareer","Eastern"
"1387","60","UTA","112","OtherCollege","SecondRound","ShortCareer","Western"
"1388","1","PHI","131","OtherCollege","Top5","ShortCareer","Eastern"
"1389","2","LAL","252","PowerSchool","Top5","AverageCareer","Western"
