"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1","1","SAC","474","PowerSchool","Top5","LongCareer","Western"
"2","2","LAC","917","PowerSchool","Top5","LongCareer","Western"
"3","3","SAS","742","OtherCollege","Top5","LongCareer","Western"
"4","4","MIA","1000","OtherCollege","Top5","LongCareer","Eastern"
"5","5","NOP","672","OtherCollege","Top5","LongCareer","Western"
"6","6","CHI","438","OtherCollege","Lottery","AverageCareer","Eastern"
"7","7","IND","766","OtherCollege","Lottery","LongCareer","Eastern"
"8","8","DAL","281","OtherCollege","Lottery","AverageCareer","Western"
"9","9","WAS","687","OtherCollege","Lottery","LongCareer","Eastern"
"10","10","MIN","639","PowerSchool","Lottery","LongCareer","Western"
"11","11","ORL","800","OtherCollege","Lottery","LongCareer","Eastern"
"12","12","BRK","889","OtherCollege","Lottery","LongCareer","Eastern"
"13","13","BOS","141","OtherCollege","Lottery","ShortCareer","Eastern"
"14","14","GSW","867","OtherCollege","Lottery","LongCareer","Western"
"15","15","DEN","237","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"16","16","OKC","850","OtherCollege","MidtoLateFirst","LongCareer","Western"
"17","17","OKC","1051","OtherCollege","MidtoLateFirst","LongCareer","Western"
"18","18","CHI","747","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"19","19","PHI","144","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"20","20","CHI","55","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"21","21","UTA","704","OtherCollege","MidtoLateFirst","LongCareer","Western"
"22","22","POR","87","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"23","23","ATL","29","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"24","24","PHO","116","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"25","25","CLE","128","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"26","26","LAL","1134","NonCollegiate","MidtoLateFirst","LongCareer","Western"
"27","27","DET","134","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"28","28","MIA","765","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"29","29","NOP","20","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"30","30","MIL","89","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"31","31","LAC","143","OtherCollege","SecondRound","ShortCareer","Western"
"32","32","BRK","16","OtherCollege","SecondRound","ShortCareer","Eastern"
"33","33","LAC","4","PowerSchool","SecondRound","ShortCareer","Western"
"34","34","MIN","31","OtherCollege","SecondRound","ShortCareer","Western"
"35","35","DAL","64","OtherCollege","SecondRound","ShortCareer","Western"
"36","36","POR","1380","PowerSchool","SecondRound","LongCareer","Western"
"37","37","ORL","149","OtherCollege","SecondRound","ShortCareer","Eastern"
"38","38","MIN","676","PowerSchool","SecondRound","LongCareer","Western"
"39","39","WAS","45","OtherCollege","SecondRound","ShortCareer","Eastern"
"40","40","BOS","224","NonCollegiate","SecondRound","AverageCareer","Eastern"
"41","41","WAS","42","OtherCollege","SecondRound","ShortCareer","Eastern"
"42","43","CLE","694","OtherCollege","SecondRound","LongCareer","Eastern"
"43","45","MIA","50","OtherCollege","SecondRound","ShortCareer","Eastern"
"44","46","PHO","2","OtherCollege","SecondRound","ShortCareer","Western"
"45","49","ATL","359","OtherCollege","SecondRound","AverageCareer","Eastern"
"46","50","NYK","138","OtherCollege","SecondRound","ShortCareer","Eastern"
"47","51","PHO","36","OtherCollege","SecondRound","ShortCareer","Western"
"48","52","PHO","274","OtherCollege","SecondRound","AverageCareer","Western"
"49","1","BRK","781","OtherCollege","Top5","LongCareer","Eastern"
"50","2","OKC","1335","OtherCollege","Top5","LongCareer","Western"
"51","3","DEN","586","OtherCollege","Top5","LongCareer","Western"
"52","4","ORL","629","OtherCollege","Top5","LongCareer","Eastern"
"53","5","NOP","966","OtherCollege","Top5","LongCareer","Western"
"54","6","MIN","640","PowerSchool","Lottery","LongCareer","Western"
"55","7","SAC","454","OtherCollege","Lottery","LongCareer","Western"
"56","8","LAC","105","OtherCollege","Lottery","ShortCareer","Western"
"57","9","MIA","316","OtherCollege","Lottery","AverageCareer","Eastern"
"58","10","ATL","336","OtherCollege","Lottery","AverageCareer","Eastern"
"59","11","GSW","801","OtherCollege","Lottery","LongCareer","Western"
"60","12","HOU","210","OtherCollege","Lottery","AverageCareer","Western"
"61","13","LAC","689","OtherCollege","Lottery","LongCareer","Western"
"62","14","SAC","115","OtherCollege","Lottery","ShortCareer","Western"
"63","15","MIA","90","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"64","16","MIL","678","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"65","17","NYK","179","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"66","18","SAC","541","OtherCollege","MidtoLateFirst","LongCareer","Western"
"67","19","BOS","608","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"68","20","MIN","201","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"69","21","PHO","475","OtherCollege","MidtoLateFirst","LongCareer","Western"
"70","22","BRK","177","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"71","23","SAC","318","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"72","24","SAS","217","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"73","25","POR","256","PowerSchool","MidtoLateFirst","AverageCareer","Western"
"74","26","DET","142","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"75","27","LAL","1044","OtherCollege","MidtoLateFirst","LongCareer","Western"
"76","28","GSW","52","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"77","29","CHI","846","NonCollegiate","MidtoLateFirst","LongCareer","Eastern"
"78","30","MIA","465","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"79","31","PHO","276","OtherCollege","SecondRound","AverageCareer","Western"
"80","32","PHI","118","OtherCollege","SecondRound","ShortCareer","Eastern"
"81","33","UTA","48","OtherCollege","SecondRound","ShortCareer","Western"
"82","34","GSW","94","PowerSchool","SecondRound","ShortCareer","Western"
"83","35","WAS","656","OtherCollege","SecondRound","LongCareer","Eastern"
"84","36","ATL","103","PowerSchool","SecondRound","ShortCareer","Eastern"
"85","37","WAS","151","OtherCollege","SecondRound","ShortCareer","Eastern"
"86","38","OKC","720","OtherCollege","SecondRound","LongCareer","Western"
"87","39","NOP","174","OtherCollege","SecondRound","ShortCareer","Western"
"88","40","SAC","852","OtherCollege","SecondRound","LongCareer","Western"
"89","41","ATL","33","OtherCollege","SecondRound","ShortCareer","Eastern"
"90","42","DEN","267","OtherCollege","SecondRound","AverageCareer","Western"
"91","43","SAS","683","OtherCollege","SecondRound","LongCareer","Western"
"92","44","MIL","238","OtherCollege","SecondRound","AverageCareer","Eastern"
"93","45","IND","903","OtherCollege","SecondRound","LongCareer","Eastern"
"94","46","IND","260","OtherCollege","SecondRound","AverageCareer","Eastern"
"95","47","PHI","456","OtherCollege","SecondRound","LongCareer","Eastern"
"96","48","PHO","609","OtherCollege","SecondRound","LongCareer","Western"
"97","50","PHO","21","OtherCollege","SecondRound","ShortCareer","Western"
"98","51","LAL","457","OtherCollege","SecondRound","LongCareer","Western"
"99","52","CLE","7","NonCollegiate","SecondRound","ShortCareer","Eastern"
"100","54","SAS","220","OtherCollege","SecondRound","AverageCareer","Western"
"101","1","NOP","707","OtherCollege","Top5","LongCareer","Western"
"102","2","BRK","858","OtherCollege","Top5","LongCareer","Eastern"
"103","3","SAC","600","OtherCollege","Top5","LongCareer","Western"
"104","4","DEN","1196","OtherCollege","Top5","LongCareer","Western"
"105","5","MIA","942","OtherCollege","Top5","LongCareer","Eastern"
"106","6","DAL","296","OtherCollege","Lottery","AverageCareer","Western"
"107","7","MIN","567","OtherCollege","Lottery","LongCareer","Western"
"108","8","DEN","251","OtherCollege","Lottery","AverageCareer","Western"
"109","9","ATL","1001","OtherCollege","Lottery","LongCareer","Eastern"
"110","10","ORL","413","OtherCollege","Lottery","AverageCareer","Eastern"
"111","11","CLE","724","OtherCollege","Lottery","LongCareer","Eastern"
"112","12","NYK","757","OtherCollege","Lottery","LongCareer","Eastern"
"113","13","IND","1094","OtherCollege","Lottery","LongCareer","Eastern"
"114","14","OKC","72","OtherCollege","Lottery","ShortCareer","Western"
"115","15","ATL","352","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"116","16","GSW","700","OtherCollege","MidtoLateFirst","LongCareer","Western"
"117","17","GSW","286","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"118","18","MIL","126","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"119","19","WAS","183","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"120","20","HOU","42","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"121","21","UTA","508","OtherCollege","MidtoLateFirst","LongCareer","Western"
"122","22","LAC","91","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"123","23","ORL","300","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"124","24","BOS","930","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"125","26","CHI","127","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"126","27","SAC","584","OtherCollege","MidtoLateFirst","LongCareer","Western"
"127","28","NOP","95","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"128","30","ATL","38","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"129","31","SAC","655","OtherCollege","SecondRound","LongCareer","Western"
"130","32","PHO","2","OtherCollege","SecondRound","ShortCareer","Western"
"131","33","DAL","249","OtherCollege","SecondRound","AverageCareer","Western"
"132","34","MIN","4","OtherCollege","SecondRound","ShortCareer","Western"
"133","35","DAL","122","OtherCollege","SecondRound","ShortCareer","Western"
"134","36","ORL","112","OtherCollege","SecondRound","ShortCareer","Eastern"
"135","37","LAC","549","OtherCollege","SecondRound","LongCareer","Western"
"136","39","CLE","78","OtherCollege","SecondRound","ShortCareer","Eastern"
"137","40","DET","499","OtherCollege","SecondRound","LongCareer","Eastern"
"138","41","IND","84","OtherCollege","SecondRound","ShortCareer","Eastern"
"139","43","GSW","13","OtherCollege","SecondRound","ShortCareer","Western"
"140","45","MIL","467","OtherCollege","SecondRound","LongCareer","Eastern"
"141","46","PHO","102","OtherCollege","SecondRound","ShortCareer","Western"
"142","48","UTA","432","OtherCollege","SecondRound","AverageCareer","Western"
"143","49","SAS","168","OtherCollege","SecondRound","ShortCareer","Western"
"144","51","HOU","247","NonCollegiate","SecondRound","AverageCareer","Western"
"145","1","ORL","1207","OtherCollege","Top5","LongCareer","Eastern"
"146","2","NOP","838","OtherCollege","Top5","LongCareer","Western"
"147","3","MIN","868","PowerSchool","Top5","LongCareer","Western"
"148","4","DAL","885","OtherCollege","Top5","LongCareer","Western"
"149","5","DEN","624","OtherCollege","Top5","LongCareer","Western"
"150","6","WAS","763","OtherCollege","Lottery","LongCareer","Eastern"
"151","7","SAC","708","OtherCollege","Lottery","LongCareer","Western"
"152","8","MIL","483","OtherCollege","Lottery","LongCareer","Eastern"
"153","9","PHI","915","OtherCollege","Lottery","LongCareer","Eastern"
"154","10","ATL","617","OtherCollege","Lottery","LongCareer","Eastern"
"155","11","HOU","1107","OtherCollege","Lottery","LongCareer","Western"
"156","12","MIA","200","OtherCollege","Lottery","AverageCareer","Eastern"
"157","13","DEN","586","OtherCollege","Lottery","LongCareer","Western"
"158","14","IND","493","OtherCollege","Lottery","LongCareer","Eastern"
"159","15","LAL","827","OtherCollege","MidtoLateFirst","LongCareer","Western"
"160","16","LAC","151","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"161","17","OKC","827","OtherCollege","MidtoLateFirst","LongCareer","Western"
"162","18","SAS","659","PowerSchool","MidtoLateFirst","LongCareer","Western"
"163","19","DET","319","PowerSchool","MidtoLateFirst","AverageCareer","Eastern"
"164","20","NYK","685","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"165","21","BOS","821","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"166","22","PHO","493","OtherCollege","MidtoLateFirst","LongCareer","Western"
"167","23","MIL","496","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"168","24","GSW","913","OtherCollege","MidtoLateFirst","LongCareer","Western"
"169","25","LAC","157","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"170","26","POR","59","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"171","27","CHI","214","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"172","28","MIN","98","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"173","29","BRK","1089","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"174","30","DAL","749","OtherCollege","MidtoLateFirst","LongCareer","Western"
"175","31","POR","66","OtherCollege","SecondRound","ShortCareer","Western"
"176","32","WAS","418","OtherCollege","SecondRound","AverageCareer","Eastern"
"177","33","CHI","39","OtherCollege","SecondRound","ShortCareer","Eastern"
"178","34","MIN","224","PowerSchool","SecondRound","AverageCareer","Western"
"179","35","NOP","152","OtherCollege","SecondRound","ShortCareer","Western"
"180","36","LAL","88","OtherCollege","SecondRound","ShortCareer","Western"
"181","37","MIA","25","OtherCollege","SecondRound","ShortCareer","Eastern"
"182","38","ATL","21","OtherCollege","SecondRound","ShortCareer","Eastern"
"183","39","CHI","148","OtherCollege","SecondRound","ShortCareer","Eastern"
"184","41","HOU","535","OtherCollege","SecondRound","LongCareer","Western"
"185","42","MIA","552","OtherCollege","SecondRound","LongCareer","Eastern"
"186","43","GSW","75","NonCollegiate","SecondRound","ShortCareer","Western"
"187","45","OKC","103","OtherCollege","SecondRound","ShortCareer","Western"
"188","46","DEN","47","OtherCollege","SecondRound","ShortCareer","Western"
"189","47","BOS","23","OtherCollege","SecondRound","ShortCareer","Eastern"
"190","48","PHO","68","PowerSchool","SecondRound","ShortCareer","Western"
"191","50","GSW","50","OtherCollege","SecondRound","ShortCareer","Western"
"192","52","CHI","2","OtherCollege","SecondRound","ShortCareer","Eastern"
"193","1","ORL","831","OtherCollege","Top5","LongCareer","Eastern"
"194","2","PHI","832","OtherCollege","Top5","LongCareer","Eastern"
"195","3","GSW","704","OtherCollege","Top5","LongCareer","Western"
"196","4","DAL","611","PowerSchool","Top5","LongCareer","Western"
"197","5","MIN","563","OtherCollege","Top5","LongCareer","Western"
"198","6","WAS","825","PowerSchool","Lottery","LongCareer","Eastern"
"199","7","SAC","269","PowerSchool","Lottery","AverageCareer","Western"
"200","8","MIL","791","OtherCollege","Lottery","LongCareer","Eastern"
"201","9","DEN","866","OtherCollege","Lottery","LongCareer","Western"
"202","10","DET","937","OtherCollege","Lottery","LongCareer","Eastern"
"203","11","DET","839","OtherCollege","Lottery","LongCareer","Eastern"
"204","12","LAL","774","OtherCollege","Lottery","LongCareer","Western"
"205","13","LAC","402","OtherCollege","Lottery","AverageCareer","Western"
"206","14","IND","27","OtherCollege","Lottery","ShortCareer","Eastern"
"207","15","ATL","85","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"208","16","BRK","335","PowerSchool","MidtoLateFirst","AverageCareer","Eastern"
"209","17","NOP","207","PowerSchool","MidtoLateFirst","AverageCareer","Western"
"210","18","UTA","15","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"211","19","BOS","193","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"212","20","NOP","383","PowerSchool","MidtoLateFirst","AverageCareer","Western"
"213","21","POR","381","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"214","22","CLE","568","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"215","23","OKC","845","OtherCollege","MidtoLateFirst","LongCareer","Western"
"216","24","HOU","993","OtherCollege","MidtoLateFirst","LongCareer","Western"
"217","25","CHI","644","PowerSchool","MidtoLateFirst","LongCareer","Eastern"
"218","26","ORL","8","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"219","27","PHO","22","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"220","28","DAL","800","OtherCollege","MidtoLateFirst","LongCareer","Western"
"221","30","WAS","307","NonCollegiate","MidtoLateFirst","AverageCareer","Eastern"
"222","31","SAC","23","OtherCollege","SecondRound","ShortCareer","Western"
"223","32","PHI","11","OtherCollege","SecondRound","ShortCareer","Eastern"
"224","33","DAL","186","OtherCollege","SecondRound","ShortCareer","Western"
"225","34","GSW","40","OtherCollege","SecondRound","ShortCareer","Western"
"226","35","MIA","4","OtherCollege","SecondRound","ShortCareer","Eastern"
"227","37","LAL","880","PowerSchool","SecondRound","LongCareer","Western"
"228","40","ATL","55","OtherCollege","SecondRound","ShortCareer","Eastern"
"229","42","OKC","10","PowerSchool","SecondRound","ShortCareer","Western"
"230","43","DEN","53","OtherCollege","SecondRound","ShortCareer","Western"
"231","45","UTA","841","OtherCollege","SecondRound","LongCareer","Western"
"232","46","HOU","22","PowerSchool","SecondRound","ShortCareer","Western"
"233","47","SAS","579","OtherCollege","SecondRound","LongCareer","Western"
"234","48","POR","14","OtherCollege","SecondRound","ShortCareer","Western"
"235","52","SAC","68","OtherCollege","SecondRound","ShortCareer","Western"
"236","1","MIL","688","OtherCollege","Top5","LongCareer","Eastern"
"237","2","DAL","1391","OtherCollege","Top5","LongCareer","Western"
"238","3","DET","1026","PowerSchool","Top5","LongCareer","Eastern"
"239","4","MIN","957","PowerSchool","Top5","LongCareer","Western"
"240","5","WAS","1208","OtherCollege","Top5","LongCareer","Eastern"
"241","6","PHI","203","OtherCollege","Lottery","AverageCareer","Eastern"
"242","7","LAC","736","OtherCollege","Lottery","LongCareer","Western"
"243","8","SAC","756","OtherCollege","Lottery","LongCareer","Western"
"244","9","BOS","465","OtherCollege","Lottery","LongCareer","Eastern"
"245","10","LAL","954","OtherCollege","Lottery","LongCareer","Western"
"246","11","OKC","298","OtherCollege","Lottery","AverageCareer","Western"
"247","12","MIA","277","OtherCollege","Lottery","AverageCareer","Eastern"
"248","13","DEN","923","OtherCollege","Lottery","LongCareer","Western"
"249","14","BRK","110","OtherCollege","Lottery","ShortCareer","Eastern"
"250","15","IND","789","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"251","16","GSW","173","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"252","17","POR","793","OtherCollege","MidtoLateFirst","LongCareer","Western"
"253","18","MIL","113","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"254","19","DAL","156","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"255","20","PHI","55","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"256","21","CHI","327","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"257","22","SAS","147","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"258","23","PHO","733","OtherCollege","MidtoLateFirst","LongCareer","Western"
"259","24","NYK","456","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"260","25","LAC","277","PowerSchool","MidtoLateFirst","AverageCareer","Western"
"261","26","NYK","630","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"262","27","ORL","168","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"263","29","PHO","143","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"264","30","MIN","786","OtherCollege","MidtoLateFirst","LongCareer","Western"
"265","32","WAS","401","OtherCollege","SecondRound","AverageCareer","Eastern"
"266","33","PHI","139","OtherCollege","SecondRound","ShortCareer","Eastern"
"267","34","ATL","4","OtherCollege","SecondRound","ShortCareer","Eastern"
"268","35","SAC","449","OtherCollege","SecondRound","AverageCareer","Western"
"269","37","OKC","114","PowerSchool","SecondRound","ShortCareer","Western"
"270","38","NOP","133","PowerSchool","SecondRound","ShortCareer","Western"
"271","39","GSW","181","OtherCollege","SecondRound","ShortCareer","Western"
"272","40","MIA","11","OtherCollege","SecondRound","ShortCareer","Eastern"
"273","43","POR","105","OtherCollege","SecondRound","ShortCareer","Western"
"274","45","GSW","41","PowerSchool","SecondRound","ShortCareer","Western"
"275","46","MIL","565","OtherCollege","SecondRound","LongCareer","Eastern"
"276","47","UTA","102","OtherCollege","SecondRound","ShortCareer","Western"
"277","50","PHO","3","OtherCollege","SecondRound","ShortCareer","Western"
"278","51","SAC","318","OtherCollege","SecondRound","AverageCareer","Western"
"279","52","PHO","266","OtherCollege","SecondRound","AverageCareer","Western"
"280","54","OKC","215","NonCollegiate","SecondRound","AverageCareer","Western"
"281","1","GSW","1030","OtherCollege","Top5","LongCareer","Western"
"282","2","LAC","1015","OtherCollege","Top5","LongCareer","Western"
"283","3","PHI","970","OtherCollege","Top5","LongCareer","Eastern"
"284","4","WAS","1109","OtherCollege","Top5","LongCareer","Eastern"
"285","5","MIN","1462","NonCollegiate","Top5","LongCareer","Western"
"286","6","MEM","395","OtherCollege","Lottery","AverageCareer","Western"
"287","7","TOR","878","OtherCollege","Lottery","LongCareer","Eastern"
"288","8","POR","172","OtherCollege","Lottery","ShortCareer","Western"
"289","9","BRK","128","PowerSchool","Lottery","ShortCareer","Eastern"
"290","10","MIA","1110","OtherCollege","Lottery","LongCareer","Eastern"
"291","11","MIL","506","OtherCollege","Lottery","LongCareer","Eastern"
"292","12","DAL","472","PowerSchool","Lottery","LongCareer","Western"
"293","13","SAC","822","OtherCollege","Lottery","LongCareer","Western"
"294","14","BOS","658","OtherCollege","Lottery","LongCareer","Eastern"
"295","15","DEN","912","OtherCollege","MidtoLateFirst","LongCareer","Western"
"296","16","ATL","652","PowerSchool","MidtoLateFirst","LongCareer","Eastern"
"297","17","CLE","657","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"298","18","DET","810","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"299","19","DET","51","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"300","20","CHI","462","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"301","21","PHO","1103","OtherCollege","MidtoLateFirst","LongCareer","Western"
"302","22","NOP","135","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"303","23","IND","708","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"304","24","DAL","140","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"305","25","ORL","118","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"306","26","OKC","28","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"307","27","PHO","68","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"308","28","UTA","756","PowerSchool","MidtoLateFirst","LongCareer","Western"
"309","29","SAS","307","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"310","30","DET","66","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"311","31","CHI","43","NonCollegiate","SecondRound","ShortCareer","Eastern"
"312","32","WAS","36","OtherCollege","SecondRound","ShortCareer","Eastern"
"313","33","BOS","61","OtherCollege","SecondRound","ShortCareer","Eastern"
"314","34","GSW","587","OtherCollege","SecondRound","LongCareer","Western"
"315","35","TOR","64","OtherCollege","SecondRound","ShortCareer","Eastern"
"316","36","MEM","119","OtherCollege","SecondRound","ShortCareer","Western"
"317","37","LAL","13","OtherCollege","SecondRound","ShortCareer","Western"
"318","39","CLE","119","PowerSchool","SecondRound","ShortCareer","Eastern"
"319","40","GSW","8","OtherCollege","SecondRound","ShortCareer","Western"
"320","42","ATL","30","OtherCollege","SecondRound","ShortCareer","Eastern"
"321","43","MIL","846","OtherCollege","SecondRound","LongCareer","Eastern"
"322","47","SAC","226","PowerSchool","SecondRound","AverageCareer","Western"
"323","48","MIN","230","OtherCollege","SecondRound","AverageCareer","Western"
"324","49","MIN","117","OtherCollege","SecondRound","ShortCareer","Western"
"325","50","GSW","25","OtherCollege","SecondRound","ShortCareer","Western"
"326","52","IND","541","OtherCollege","SecondRound","LongCareer","Eastern"
"327","55","GSW","1","OtherCollege","SecondRound","ShortCareer","Western"
"328","56","PHO","297","OtherCollege","SecondRound","AverageCareer","Western"
"329","57","ATL","7","OtherCollege","SecondRound","ShortCareer","Eastern"
"330","58","DET","403","OtherCollege","SecondRound","AverageCareer","Eastern"
"331","1","PHI","914","OtherCollege","Top5","LongCareer","Eastern"
"332","2","TOR","973","OtherCollege","Top5","LongCareer","Eastern"
"333","3","MEM","830","OtherCollege","Top5","LongCareer","Western"
"334","4","MIL","846","OtherCollege","Top5","LongCareer","Eastern"
"335","5","MIN","1300","PowerSchool","Top5","LongCareer","Western"
"336","6","BOS","893","PowerSchool","Lottery","LongCareer","Eastern"
"337","7","LAC","778","OtherCollege","Lottery","LongCareer","Western"
"338","8","BRK","507","PowerSchool","Lottery","LongCareer","Eastern"
"339","9","DAL","445","PowerSchool","Lottery","AverageCareer","Western"
"340","10","IND","987","OtherCollege","Lottery","LongCareer","Eastern"
"341","11","GSW","225","OtherCollege","Lottery","AverageCareer","Western"
"342","12","CLE","610","OtherCollege","Lottery","LongCareer","Eastern"
"343","13","NOP","1346","NonCollegiate","Lottery","LongCareer","Western"
"344","14","SAC","804","NonCollegiate","Lottery","LongCareer","Western"
"345","15","PHO","1217","OtherCollege","MidtoLateFirst","LongCareer","Western"
"346","16","NOP","545","PowerSchool","MidtoLateFirst","LongCareer","Western"
"347","17","POR","1011","NonCollegiate","MidtoLateFirst","LongCareer","Western"
"348","18","NYK","381","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"349","19","NYK","593","PowerSchool","MidtoLateFirst","LongCareer","Eastern"
"350","20","CLE","843","NonCollegiate","MidtoLateFirst","LongCareer","Eastern"
"351","21","NYK","15","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"352","22","MEM","137","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"353","23","DEN","35","NonCollegiate","MidtoLateFirst","ShortCareer","Western"
"354","24","LAL","1287","OtherCollege","MidtoLateFirst","LongCareer","Western"
"355","25","UTA","83","NonCollegiate","MidtoLateFirst","ShortCareer","Western"
"356","26","DET","587","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"357","27","ORL","102","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"358","28","ATL","74","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"359","29","CHI","371","PowerSchool","MidtoLateFirst","AverageCareer","Eastern"
"360","30","HOU","709","OtherCollege","MidtoLateFirst","LongCareer","Western"
"361","31","PHI","114","OtherCollege","SecondRound","ShortCareer","Eastern"
"362","33","MIL","445","OtherCollege","SecondRound","AverageCareer","Eastern"
"363","37","DEN","576","OtherCollege","SecondRound","LongCareer","Western"
"364","38","BOS","35","OtherCollege","SecondRound","ShortCareer","Eastern"
"365","41","SAC","14","OtherCollege","SecondRound","ShortCareer","Western"
"366","42","HOU","203","OtherCollege","SecondRound","AverageCareer","Western"
"367","43","PHO","40","OtherCollege","SecondRound","ShortCareer","Western"
"368","44","NOP","813","OtherCollege","SecondRound","LongCareer","Western"
"369","46","POR","27","OtherCollege","SecondRound","ShortCareer","Western"
"370","48","PHI","201","OtherCollege","SecondRound","AverageCareer","Eastern"
"371","49","ORL","114","OtherCollege","SecondRound","ShortCareer","Eastern"
"372","51","MEM","76","OtherCollege","SecondRound","ShortCareer","Western"
"373","52","IND","153","PowerSchool","SecondRound","ShortCareer","Eastern"
"374","53","MIL","13","OtherCollege","SecondRound","ShortCareer","Eastern"
"375","54","UTA","719","OtherCollege","SecondRound","LongCareer","Western"
"376","56","CLE","101","OtherCollege","SecondRound","ShortCareer","Eastern"
"377","57","OKC","60","OtherCollege","SecondRound","ShortCareer","Western"
"378","1","SAS","1392","OtherCollege","Top5","LongCareer","Western"
"379","2","PHI","575","OtherCollege","Top5","LongCareer","Eastern"
"380","3","BOS","1043","OtherCollege","Top5","LongCareer","Eastern"
"381","4","MEM","872","OtherCollege","Top5","LongCareer","Western"
"382","5","DEN","837","OtherCollege","Top5","LongCareer","Western"
"383","6","BOS","432","PowerSchool","Lottery","AverageCareer","Eastern"
"384","7","BRK","824","PowerSchool","Lottery","LongCareer","Eastern"
