"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"214",6,52,"SecondRound","OtherCollege","Eastern"
"217",37.1,1,"Top5","OtherCollege","Eastern"
"218",23.5,2,"Top5","OtherCollege","Eastern"
"219",33.7,3,"Top5","OtherCollege","Western"
"220",37.3,4,"Top5","PowerSchool","Western"
"221",31.7,5,"Top5","OtherCollege","Western"
"222",26.7,6,"Lottery","PowerSchool","Eastern"
"223",15.5,7,"Lottery","PowerSchool","Western"
"224",32.5,8,"Lottery","OtherCollege","Eastern"
"225",25.3,9,"Lottery","OtherCollege","Western"
"226",24.8,10,"Lottery","OtherCollege","Eastern"
"227",33.7,11,"Lottery","OtherCollege","Eastern"
"228",22.8,12,"Lottery","OtherCollege","Western"
"229",18.2,13,"Lottery","OtherCollege","Western"
"230",6.9,14,"Lottery","OtherCollege","Eastern"
"231",9.9,15,"MidtoLateFirst","OtherCollege","Eastern"
"232",13.7,16,"MidtoLateFirst","PowerSchool","Eastern"
"233",12.2,17,"MidtoLateFirst","PowerSchool","Western"
"234",6.1,18,"MidtoLateFirst","OtherCollege","Western"
"235",13,19,"MidtoLateFirst","OtherCollege","Eastern"
"236",19.8,20,"MidtoLateFirst","PowerSchool","Western"
"237",18.2,21,"MidtoLateFirst","OtherCollege","Western"
"238",30.4,22,"MidtoLateFirst","OtherCollege","Eastern"
"239",20.1,23,"MidtoLateFirst","OtherCollege","Western"
"240",30,24,"MidtoLateFirst","OtherCollege","Western"
"241",15.4,25,"MidtoLateFirst","PowerSchool","Eastern"
"242",3.4,26,"MidtoLateFirst","OtherCollege","Eastern"
"243",3.1,27,"MidtoLateFirst","OtherCollege","Western"
"244",19.6,28,"MidtoLateFirst","OtherCollege","Western"
"246",21.9,30,"MidtoLateFirst","NonCollegiate","Eastern"
"247",6.2,31,"SecondRound","OtherCollege","Western"
"248",10.4,32,"SecondRound","OtherCollege","Eastern"
"249",9.9,33,"SecondRound","OtherCollege","Western"
"250",7.3,34,"SecondRound","OtherCollege","Western"
"251",4.3,35,"SecondRound","OtherCollege","Eastern"
