"","overall_pick","pick_bucket","educational_prestige","team_conference","long_career_label"
"58",4,"Top5","OtherCollege","Eastern","LongCareer"
"59",5,"Top5","OtherCollege","Western","LongCareer"
"60",6,"Lottery","PowerSchool","Western","LongCareer"
"61",7,"Lottery","OtherCollege","Western","LongCareer"
"62",8,"Lottery","OtherCollege","Western","NotLongCareer"
"63",9,"Lottery","OtherCollege","Eastern","NotLongCareer"
"64",10,"Lottery","OtherCollege","Eastern","NotLongCareer"
"65",11,"Lottery","OtherCollege","Western","LongCareer"
"66",12,"Lottery","OtherCollege","Western","NotLongCareer"
"67",13,"Lottery","OtherCollege","Western","LongCareer"
"68",14,"Lottery","OtherCollege","Western","NotLongCareer"
"69",15,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"70",16,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"71",17,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"72",18,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"73",19,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"74",20,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"75",21,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"76",22,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"77",23,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"78",24,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"79",25,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"80",26,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"81",27,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"82",28,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"83",29,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"84",30,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"85",31,"SecondRound","OtherCollege","Western","NotLongCareer"
"86",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"87",33,"SecondRound","OtherCollege","Western","NotLongCareer"
"88",34,"SecondRound","PowerSchool","Western","NotLongCareer"
"89",35,"SecondRound","OtherCollege","Eastern","LongCareer"
"90",36,"SecondRound","PowerSchool","Eastern","NotLongCareer"
"91",37,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"92",38,"SecondRound","OtherCollege","Western","LongCareer"
"93",39,"SecondRound","OtherCollege","Western","NotLongCareer"
"94",40,"SecondRound","OtherCollege","Western","LongCareer"
"95",41,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"96",42,"SecondRound","OtherCollege","Western","NotLongCareer"
"97",43,"SecondRound","OtherCollege","Western","LongCareer"
"98",44,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"99",45,"SecondRound","OtherCollege","Eastern","LongCareer"
"100",46,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"101",47,"SecondRound","OtherCollege","Eastern","LongCareer"
"102",48,"SecondRound","OtherCollege","Western","LongCareer"
"104",50,"SecondRound","OtherCollege","Western","NotLongCareer"
"105",51,"SecondRound","OtherCollege","Western","LongCareer"
"106",52,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"108",54,"SecondRound","OtherCollege","Western","NotLongCareer"
"109",1,"Top5","OtherCollege","Western","LongCareer"
"110",2,"Top5","OtherCollege","Eastern","LongCareer"
"111",3,"Top5","OtherCollege","Western","LongCareer"
"112",4,"Top5","OtherCollege","Western","LongCareer"
"113",5,"Top5","OtherCollege","Eastern","LongCareer"
"114",6,"Lottery","OtherCollege","Western","NotLongCareer"
"115",7,"Lottery","OtherCollege","Western","LongCareer"
"116",8,"Lottery","OtherCollege","Western","NotLongCareer"
"117",9,"Lottery","OtherCollege","Eastern","LongCareer"
"118",10,"Lottery","OtherCollege","Eastern","NotLongCareer"
"119",11,"Lottery","OtherCollege","Eastern","LongCareer"
"120",12,"Lottery","OtherCollege","Eastern","LongCareer"
"121",13,"Lottery","OtherCollege","Eastern","LongCareer"
"122",14,"Lottery","OtherCollege","Western","NotLongCareer"
"123",15,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"124",16,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"125",17,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"126",18,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"127",19,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"128",20,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"129",21,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"130",22,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"131",23,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"132",24,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"134",26,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"135",27,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"136",28,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"138",30,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"139",31,"SecondRound","OtherCollege","Western","LongCareer"
"140",32,"SecondRound","OtherCollege","Western","NotLongCareer"
"141",33,"SecondRound","OtherCollege","Western","NotLongCareer"
"142",34,"SecondRound","OtherCollege","Western","NotLongCareer"
"143",35,"SecondRound","OtherCollege","Western","NotLongCareer"
"144",36,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"145",37,"SecondRound","OtherCollege","Western","LongCareer"
"147",39,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"148",40,"SecondRound","OtherCollege","Eastern","LongCareer"
"149",41,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"151",43,"SecondRound","OtherCollege","Western","NotLongCareer"
"153",45,"SecondRound","OtherCollege","Eastern","LongCareer"
"154",46,"SecondRound","OtherCollege","Western","NotLongCareer"
"156",48,"SecondRound","OtherCollege","Western","NotLongCareer"
"157",49,"SecondRound","OtherCollege","Western","NotLongCareer"
"159",51,"SecondRound","NonCollegiate","Western","NotLongCareer"
"163",1,"Top5","OtherCollege","Eastern","LongCareer"
"164",2,"Top5","OtherCollege","Western","LongCareer"
"165",3,"Top5","PowerSchool","Western","LongCareer"
"166",4,"Top5","OtherCollege","Western","LongCareer"
"167",5,"Top5","OtherCollege","Western","LongCareer"
"168",6,"Lottery","OtherCollege","Eastern","LongCareer"
"169",7,"Lottery","OtherCollege","Western","LongCareer"
"170",8,"Lottery","OtherCollege","Eastern","LongCareer"
"171",9,"Lottery","OtherCollege","Eastern","LongCareer"
"172",10,"Lottery","OtherCollege","Eastern","LongCareer"
"173",11,"Lottery","OtherCollege","Western","LongCareer"
"174",12,"Lottery","OtherCollege","Eastern","NotLongCareer"
"175",13,"Lottery","OtherCollege","Western","LongCareer"
"176",14,"Lottery","OtherCollege","Eastern","LongCareer"
"177",15,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"178",16,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"179",17,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"180",18,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"181",19,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"182",20,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"183",21,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"184",22,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"185",23,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"186",24,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"187",25,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"188",26,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"189",27,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"190",28,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"191",29,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"192",30,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"193",31,"SecondRound","OtherCollege","Western","NotLongCareer"
"194",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"195",33,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"196",34,"SecondRound","PowerSchool","Western","NotLongCareer"
"197",35,"SecondRound","OtherCollege","Western","NotLongCareer"
"198",36,"SecondRound","OtherCollege","Western","NotLongCareer"
"199",37,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"200",38,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"201",39,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"203",41,"SecondRound","OtherCollege","Western","LongCareer"
"204",42,"SecondRound","OtherCollege","Eastern","LongCareer"
"205",43,"SecondRound","NonCollegiate","Western","NotLongCareer"
"207",45,"SecondRound","OtherCollege","Western","NotLongCareer"
"208",46,"SecondRound","OtherCollege","Western","NotLongCareer"
"209",47,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"210",48,"SecondRound","PowerSchool","Western","NotLongCareer"
"212",50,"SecondRound","OtherCollege","Western","NotLongCareer"
"214",52,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"217",1,"Top5","OtherCollege","Eastern","LongCareer"
"218",2,"Top5","OtherCollege","Eastern","LongCareer"
"219",3,"Top5","OtherCollege","Western","LongCareer"
"220",4,"Top5","PowerSchool","Western","LongCareer"
"221",5,"Top5","OtherCollege","Western","LongCareer"
"222",6,"Lottery","PowerSchool","Eastern","LongCareer"
"223",7,"Lottery","PowerSchool","Western","NotLongCareer"
"224",8,"Lottery","OtherCollege","Eastern","LongCareer"
"225",9,"Lottery","OtherCollege","Western","LongCareer"
"226",10,"Lottery","OtherCollege","Eastern","LongCareer"
"227",11,"Lottery","OtherCollege","Eastern","LongCareer"
"228",12,"Lottery","OtherCollege","Western","LongCareer"
"229",13,"Lottery","OtherCollege","Western","NotLongCareer"
"230",14,"Lottery","OtherCollege","Eastern","NotLongCareer"
"231",15,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"232",16,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"233",17,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"234",18,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"235",19,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"236",20,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"237",21,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"238",22,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"239",23,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"240",24,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"241",25,"MidtoLateFirst","PowerSchool","Eastern","LongCareer"
"242",26,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"243",27,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"244",28,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"246",30,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"247",31,"SecondRound","OtherCollege","Western","NotLongCareer"
"248",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"249",33,"SecondRound","OtherCollege","Western","NotLongCareer"
"250",34,"SecondRound","OtherCollege","Western","NotLongCareer"
"251",35,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"253",37,"SecondRound","PowerSchool","Western","LongCareer"
"256",40,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"258",42,"SecondRound","PowerSchool","Western","NotLongCareer"
"259",43,"SecondRound","OtherCollege","Western","NotLongCareer"
"261",45,"SecondRound","OtherCollege","Western","LongCareer"
"262",46,"SecondRound","PowerSchool","Western","NotLongCareer"
"263",47,"SecondRound","OtherCollege","Western","LongCareer"
"264",48,"SecondRound","OtherCollege","Western","NotLongCareer"
"268",52,"SecondRound","OtherCollege","Western","NotLongCareer"
"271",1,"Top5","OtherCollege","Eastern","LongCareer"
"272",2,"Top5","OtherCollege","Western","LongCareer"
"273",3,"Top5","PowerSchool","Eastern","LongCareer"
"274",4,"Top5","PowerSchool","Western","LongCareer"
"275",5,"Top5","OtherCollege","Eastern","LongCareer"
"276",6,"Lottery","OtherCollege","Eastern","NotLongCareer"
"277",7,"Lottery","OtherCollege","Western","LongCareer"
"278",8,"Lottery","OtherCollege","Western","LongCareer"
"279",9,"Lottery","OtherCollege","Eastern","LongCareer"
"280",10,"Lottery","OtherCollege","Western","LongCareer"
"281",11,"Lottery","OtherCollege","Western","NotLongCareer"
"282",12,"Lottery","OtherCollege","Eastern","NotLongCareer"
"283",13,"Lottery","OtherCollege","Western","LongCareer"
"284",14,"Lottery","OtherCollege","Eastern","NotLongCareer"
"285",15,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"286",16,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"287",17,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"288",18,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"289",19,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"290",20,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"291",21,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"292",22,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"293",23,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"294",24,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"295",25,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"296",26,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"297",27,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"299",29,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"300",30,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"302",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"303",33,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"304",34,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"305",35,"SecondRound","OtherCollege","Western","NotLongCareer"
"307",37,"SecondRound","PowerSchool","Western","NotLongCareer"
"308",38,"SecondRound","PowerSchool","Western","NotLongCareer"
"309",39,"SecondRound","OtherCollege","Western","NotLongCareer"
"310",40,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"313",43,"SecondRound","OtherCollege","Western","NotLongCareer"
"315",45,"SecondRound","PowerSchool","Western","NotLongCareer"
"316",46,"SecondRound","OtherCollege","Eastern","LongCareer"
"317",47,"SecondRound","OtherCollege","Western","NotLongCareer"
"320",50,"SecondRound","OtherCollege","Western","NotLongCareer"
"321",51,"SecondRound","OtherCollege","Western","NotLongCareer"
"322",52,"SecondRound","OtherCollege","Western","NotLongCareer"
"324",54,"SecondRound","NonCollegiate","Western","NotLongCareer"
"325",1,"Top5","OtherCollege","Western","LongCareer"
"326",2,"Top5","OtherCollege","Western","LongCareer"
"327",3,"Top5","OtherCollege","Eastern","LongCareer"
"328",4,"Top5","OtherCollege","Eastern","LongCareer"
"329",5,"Top5","NonCollegiate","Western","LongCareer"
"330",6,"Lottery","OtherCollege","Western","NotLongCareer"
"331",7,"Lottery","OtherCollege","Eastern","LongCareer"
"332",8,"Lottery","OtherCollege","Western","NotLongCareer"
"333",9,"Lottery","PowerSchool","Eastern","NotLongCareer"
"334",10,"Lottery","OtherCollege","Eastern","LongCareer"
"335",11,"Lottery","OtherCollege","Eastern","LongCareer"
"336",12,"Lottery","PowerSchool","Western","LongCareer"
"337",13,"Lottery","OtherCollege","Western","LongCareer"
"338",14,"Lottery","OtherCollege","Eastern","LongCareer"
"339",15,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"340",16,"MidtoLateFirst","PowerSchool","Eastern","LongCareer"
"341",17,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"342",18,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"343",19,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"344",20,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"345",21,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"346",22,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"347",23,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"348",24,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"349",25,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"350",26,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"351",27,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"352",28,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"353",29,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"354",30,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"355",31,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"356",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"357",33,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"358",34,"SecondRound","OtherCollege","Western","LongCareer"
"359",35,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"360",36,"SecondRound","OtherCollege","Western","NotLongCareer"
"361",37,"SecondRound","OtherCollege","Western","NotLongCareer"
"363",39,"SecondRound","PowerSchool","Eastern","NotLongCareer"
"364",40,"SecondRound","OtherCollege","Western","NotLongCareer"
"366",42,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"367",43,"SecondRound","OtherCollege","Eastern","LongCareer"
"371",47,"SecondRound","PowerSchool","Western","NotLongCareer"
"372",48,"SecondRound","OtherCollege","Western","NotLongCareer"
"373",49,"SecondRound","OtherCollege","Western","NotLongCareer"
"374",50,"SecondRound","OtherCollege","Western","NotLongCareer"
"376",52,"SecondRound","OtherCollege","Eastern","LongCareer"
"379",55,"SecondRound","OtherCollege","Western","NotLongCareer"
"380",56,"SecondRound","OtherCollege","Western","NotLongCareer"
"381",57,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"382",58,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"383",1,"Top5","OtherCollege","Eastern","LongCareer"
"384",2,"Top5","OtherCollege","Eastern","LongCareer"
"385",3,"Top5","OtherCollege","Western","LongCareer"
"386",4,"Top5","OtherCollege","Eastern","LongCareer"
"387",5,"Top5","PowerSchool","Western","LongCareer"
"388",6,"Lottery","PowerSchool","Eastern","LongCareer"
"389",7,"Lottery","OtherCollege","Western","LongCareer"
"390",8,"Lottery","PowerSchool","Eastern","LongCareer"
"391",9,"Lottery","PowerSchool","Western","NotLongCareer"
"392",10,"Lottery","OtherCollege","Eastern","LongCareer"
"393",11,"Lottery","OtherCollege","Western","NotLongCareer"
"394",12,"Lottery","OtherCollege","Eastern","LongCareer"
"395",13,"Lottery","NonCollegiate","Western","LongCareer"
"396",14,"Lottery","NonCollegiate","Western","LongCareer"
"397",15,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"398",16,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"399",17,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"400",18,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"401",19,"MidtoLateFirst","PowerSchool","Eastern","LongCareer"
"402",20,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"403",21,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"404",22,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"405",23,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"406",24,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"407",25,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"408",26,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"409",27,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"410",28,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"411",29,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"412",30,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"413",31,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"415",33,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"419",37,"SecondRound","OtherCollege","Western","LongCareer"
"420",38,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"423",41,"SecondRound","OtherCollege","Western","NotLongCareer"
"424",42,"SecondRound","OtherCollege","Western","NotLongCareer"
"425",43,"SecondRound","OtherCollege","Western","NotLongCareer"
"426",44,"SecondRound","OtherCollege","Western","LongCareer"
"428",46,"SecondRound","OtherCollege","Western","NotLongCareer"
"430",48,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"431",49,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"433",51,"SecondRound","OtherCollege","Western","NotLongCareer"
"434",52,"SecondRound","PowerSchool","Eastern","NotLongCareer"
"435",53,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"436",54,"SecondRound","OtherCollege","Western","LongCareer"
"438",56,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"439",57,"SecondRound","OtherCollege","Western","NotLongCareer"
"441",1,"Top5","OtherCollege","Western","LongCareer"
"442",2,"Top5","OtherCollege","Eastern","LongCareer"
"443",3,"Top5","OtherCollege","Eastern","LongCareer"
"444",4,"Top5","OtherCollege","Western","LongCareer"
"445",5,"Top5","OtherCollege","Western","LongCareer"
"446",6,"Lottery","PowerSchool","Eastern","NotLongCareer"
"447",7,"Lottery","PowerSchool","Eastern","LongCareer"
"448",8,"Lottery","OtherCollege","Western","LongCareer"
"449",9,"Lottery","NonCollegiate","Eastern","LongCareer"
"450",10,"Lottery","PowerSchool","Eastern","NotLongCareer"
"451",11,"Lottery","OtherCollege","Western","NotLongCareer"
"452",12,"Lottery","OtherCollege","Eastern","LongCareer"
"453",13,"Lottery","PowerSchool","Eastern","LongCareer"
"454",14,"Lottery","OtherCollege","Western","LongCareer"
"455",15,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"456",16,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"457",17,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"458",18,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"459",19,"MidtoLateFirst","PowerSchool","Eastern","LongCareer"
"460",20,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"461",21,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"462",22,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"463",23,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"464",24,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"465",25,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"466",26,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"467",27,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"468",28,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"471",31,"SecondRound","PowerSchool","Eastern","NotLongCareer"
"472",32,"SecondRound","OtherCollege","Western","NotLongCareer"
"473",33,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"474",34,"SecondRound","OtherCollege","Western","NotLongCareer"
"475",35,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"476",36,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"477",37,"SecondRound","OtherCollege","Western","NotLongCareer"
"478",38,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"479",39,"SecondRound","OtherCollege","Western","LongCareer"
"481",41,"SecondRound","PowerSchool","Western","NotLongCareer"
"482",42,"SecondRound","OtherCollege","Western","LongCareer"
"484",44,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"485",45,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"486",46,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"487",47,"SecondRound","PowerSchool","Western","LongCareer"
"488",48,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"490",50,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"491",51,"SecondRound","PowerSchool","Western","NotLongCareer"
"494",54,"SecondRound","OtherCollege","Western","LongCareer"
"498",1,"Top5","OtherCollege","Western","LongCareer"
"499",2,"Top5","OtherCollege","Western","LongCareer"
"500",3,"Top5","PowerSchool","Western","LongCareer"
"501",4,"Top5","OtherCollege","Eastern","LongCareer"
"502",5,"Top5","OtherCollege","Western","LongCareer"
"503",6,"Lottery","OtherCollege","Western","NotLongCareer"
"504",7,"Lottery","OtherCollege","Western","LongCareer"
"505",8,"Lottery","OtherCollege","Eastern","LongCareer"
"506",9,"Lottery","NonCollegiate","Eastern","LongCareer"
"507",10,"Lottery","PowerSchool","Eastern","LongCareer"
"508",11,"Lottery","OtherCollege","Eastern","LongCareer"
"509",12,"Lottery","OtherCollege","Eastern","LongCareer"
