"","total_minutes_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"217",30847,1,"Top5","OtherCollege","Eastern"
"218",19531,2,"Top5","OtherCollege","Eastern"
"219",23711,3,"Top5","OtherCollege","Western"
"220",22762,4,"Top5","PowerSchool","Western"
"221",17851,5,"Top5","OtherCollege","Western"
"222",22007,6,"Lottery","PowerSchool","Eastern"
"223",4170,7,"Lottery","PowerSchool","Western"
"224",25737,8,"Lottery","OtherCollege","Eastern"
"225",21873,9,"Lottery","OtherCollege","Western"
"226",23253,10,"Lottery","OtherCollege","Eastern"
"227",28311,11,"Lottery","OtherCollege","Eastern"
"228",17683,12,"Lottery","OtherCollege","Western"
"229",7305,13,"Lottery","OtherCollege","Western"
"230",186,14,"Lottery","OtherCollege","Eastern"
"231",838,15,"MidtoLateFirst","OtherCollege","Eastern"
"232",4602,16,"MidtoLateFirst","PowerSchool","Eastern"
"233",2530,17,"MidtoLateFirst","PowerSchool","Western"
"234",92,18,"MidtoLateFirst","OtherCollege","Western"
"235",2512,19,"MidtoLateFirst","OtherCollege","Eastern"
"236",7592,20,"MidtoLateFirst","PowerSchool","Western"
"237",6935,21,"MidtoLateFirst","OtherCollege","Western"
"238",17282,22,"MidtoLateFirst","OtherCollege","Eastern"
"239",16989,23,"MidtoLateFirst","OtherCollege","Western"
"240",29812,24,"MidtoLateFirst","OtherCollege","Western"
"241",9925,25,"MidtoLateFirst","PowerSchool","Eastern"
"242",27,26,"MidtoLateFirst","OtherCollege","Eastern"
"243",69,27,"MidtoLateFirst","OtherCollege","Western"
"244",15701,28,"MidtoLateFirst","OtherCollege","Western"
"246",6729,30,"MidtoLateFirst","NonCollegiate","Eastern"
"247",143,31,"SecondRound","OtherCollege","Western"
"248",114,32,"SecondRound","OtherCollege","Eastern"
"249",1844,33,"SecondRound","OtherCollege","Western"
"250",293,34,"SecondRound","OtherCollege","Western"
"251",17,35,"SecondRound","OtherCollege","Eastern"
"253",28969,37,"SecondRound","PowerSchool","Western"
"256",512,40,"SecondRound","OtherCollege","Eastern"
"258",97,42,"SecondRound","PowerSchool","Western"
"259",382,43,"SecondRound","OtherCollege","Western"
"261",19805,45,"SecondRound","OtherCollege","Western"
"262",92,46,"SecondRound","PowerSchool","Western"
"263",10052,47,"SecondRound","OtherCollege","Western"
"264",58,48,"SecondRound","OtherCollege","Western"
"268",705,52,"SecondRound","OtherCollege","Western"
"271",25346,1,"Top5","OtherCollege","Eastern"
"272",50111,2,"Top5","OtherCollege","Western"
"273",34776,3,"Top5","PowerSchool","Eastern"
"274",25027,4,"Top5","PowerSchool","Western"
"275",36654,5,"Top5","OtherCollege","Eastern"
"276",4531,6,"Lottery","OtherCollege","Eastern"
"277",18477,7,"Lottery","OtherCollege","Western"
"278",21417,8,"Lottery","OtherCollege","Western"
"279",8479,9,"Lottery","OtherCollege","Eastern"
"280",32778,10,"Lottery","OtherCollege","Western"
"281",5654,11,"Lottery","OtherCollege","Western"
"282",5837,12,"Lottery","OtherCollege","Eastern"
"283",27925,13,"Lottery","OtherCollege","Western"
"284",1002,14,"Lottery","OtherCollege","Eastern"
"285",14613,15,"MidtoLateFirst","OtherCollege","Eastern"
"286",2984,16,"MidtoLateFirst","PowerSchool","Western"
"287",19156,17,"MidtoLateFirst","OtherCollege","Western"
"288",1570,18,"MidtoLateFirst","OtherCollege","Eastern"
"289",2222,19,"MidtoLateFirst","OtherCollege","Western"
"290",809,20,"MidtoLateFirst","OtherCollege","Eastern"
"291",5201,21,"MidtoLateFirst","OtherCollege","Eastern"
"292",1614,22,"MidtoLateFirst","OtherCollege","Western"
"293",20727,23,"MidtoLateFirst","OtherCollege","Western"
"294",7624,24,"MidtoLateFirst","OtherCollege","Eastern"
"295",5144,25,"MidtoLateFirst","PowerSchool","Western"
"296",14080,26,"MidtoLateFirst","OtherCollege","Eastern"
"297",1714,27,"MidtoLateFirst","OtherCollege","Eastern"
"299",1395,29,"MidtoLateFirst","PowerSchool","Western"
"300",16013,30,"MidtoLateFirst","OtherCollege","Western"
"302",5927,32,"SecondRound","OtherCollege","Eastern"
"303",2657,33,"SecondRound","OtherCollege","Eastern"
"304",42,34,"SecondRound","OtherCollege","Eastern"
"305",10552,35,"SecondRound","OtherCollege","Western"
"307",1146,37,"SecondRound","PowerSchool","Western"
"308",1395,38,"SecondRound","PowerSchool","Western"
"309",1637,39,"SecondRound","OtherCollege","Western"
"310",58,40,"SecondRound","OtherCollege","Eastern"
"313",634,43,"SecondRound","OtherCollege","Western"
"315",395,45,"SecondRound","PowerSchool","Western"
"316",15349,46,"SecondRound","OtherCollege","Eastern"
"317",1248,47,"SecondRound","OtherCollege","Western"
"320",7,50,"SecondRound","OtherCollege","Western"
"321",4726,51,"SecondRound","OtherCollege","Western"
"322",4951,52,"SecondRound","OtherCollege","Western"
"324",3280,54,"SecondRound","NonCollegiate","Western"
"325",27022,1,"Top5","OtherCollege","Western"
"326",28053,2,"Top5","OtherCollege","Western"
"327",30222,3,"Top5","OtherCollege","Eastern"
"328",36243,4,"Top5","OtherCollege","Eastern"
"329",50418,5,"Top5","NonCollegiate","Western"
"330",12071,6,"Lottery","OtherCollege","Western"
"331",29106,7,"Lottery","OtherCollege","Eastern"
"332",2350,8,"Lottery","OtherCollege","Western"
"333",2062,9,"Lottery","PowerSchool","Eastern"
"334",27160,10,"Lottery","OtherCollege","Eastern"
"335",9866,11,"Lottery","OtherCollege","Eastern"
"336",7459,12,"Lottery","PowerSchool","Western"
"337",18749,13,"Lottery","OtherCollege","Western"
"338",15731,14,"Lottery","OtherCollege","Eastern"
"339",23643,15,"MidtoLateFirst","OtherCollege","Western"
"340",13780,16,"MidtoLateFirst","PowerSchool","Eastern"
"341",15597,17,"MidtoLateFirst","OtherCollege","Eastern"
"342",20500,18,"MidtoLateFirst","OtherCollege","Eastern"
"343",405,19,"MidtoLateFirst","OtherCollege","Eastern"
"344",9045,20,"MidtoLateFirst","OtherCollege","Eastern"
"345",37996,21,"MidtoLateFirst","OtherCollege","Western"
"346",1328,22,"MidtoLateFirst","PowerSchool","Western"
"347",15150,23,"MidtoLateFirst","OtherCollege","Eastern"
"348",2044,24,"MidtoLateFirst","OtherCollege","Western"
"349",1156,25,"MidtoLateFirst","OtherCollege","Eastern"
"350",139,26,"MidtoLateFirst","OtherCollege","Western"
"351",606,27,"MidtoLateFirst","OtherCollege","Western"
"352",14753,28,"MidtoLateFirst","PowerSchool","Western"
"353",4847,29,"MidtoLateFirst","OtherCollege","Western"
"354",479,30,"MidtoLateFirst","OtherCollege","Eastern"
"355",598,31,"SecondRound","NonCollegiate","Eastern"
"356",405,32,"SecondRound","OtherCollege","Eastern"
"357",495,33,"SecondRound","OtherCollege","Eastern"
"358",9847,34,"SecondRound","OtherCollege","Western"
"359",890,35,"SecondRound","OtherCollege","Eastern"
"360",1814,36,"SecondRound","OtherCollege","Western"
"361",79,37,"SecondRound","OtherCollege","Western"
"363",919,39,"SecondRound","PowerSchool","Eastern"
"364",122,40,"SecondRound","OtherCollege","Western"
"366",195,42,"SecondRound","OtherCollege","Eastern"
"367",23132,43,"SecondRound","OtherCollege","Eastern"
"371",4743,47,"SecondRound","PowerSchool","Western"
"372",3681,48,"SecondRound","OtherCollege","Western"
"373",1305,49,"SecondRound","OtherCollege","Western"
"374",239,50,"SecondRound","OtherCollege","Western"
