"","overall_pick","total_games_played","total_minutes_played","total_points","total_rebounds","total_assists","mpg","ppg","rpg","apg","win_shares","ws_per_48","bpm","vorp"
"1873",11,31,304,142,52,26,9.8,4.6,1.7,0.8,0,0.001,-7.1,-0.4
"1874",12,50,965,288,113,81,19.3,5.8,2.3,1.6,0,0.001,-5,-0.7
"1875",13,55,1541,720,226,114,28,13.1,4.1,2.1,0.9,0.029,-2.3,-0.1
"1876",14,52,607,228,80,23,11.7,4.4,1.5,0.4,1.3,0.101,-2.5,-0.1
"1877",15,77,1801,634,209,85,23.4,8.2,2.7,1.1,2.3,0.061,-2.3,-0.1
"1879",17,62,864,334,147,38,13.9,5.4,2.4,0.6,1.9,0.104,-1.2,0.2
"1880",18,60,1367,625,171,91,22.8,10.4,2.9,1.5,0.1,0.002,-4.3,-0.8
"1881",19,21,63,22,11,4,3,1,0.5,0.2,0,0.009,-6.6,-0.1
"1882",20,22,120,52,26,3,5.5,2.4,1.2,0.1,0,0.013,-4.9,-0.1
"1883",21,37,697,267,81,76,18.8,7.2,2.2,2.1,-0.5,-0.031,-5.9,-0.7
"1884",22,36,541,297,149,10,15,8.3,4.1,0.3,1.4,0.126,-1.5,0.1
"1886",24,74,1334,587,186,150,18,7.9,2.5,2,0.3,0.01,-3.5,-0.5
"1887",25,46,786,275,94,44,17.1,6,2,1,1.4,0.087,-0.3,0.3
"1888",26,69,1310,698,188,191,19,10.1,2.7,2.8,2.4,0.088,-0.4,0.5
"1889",27,67,1176,570,161,78,17.6,8.5,2.4,1.2,0.8,0.033,-3.4,-0.4
"1891",29,32,391,198,160,17,12.2,6.2,5,0.5,1.2,0.152,-2.8,-0.1
"1892",30,32,360,132,87,21,11.3,4.1,2.7,0.7,0.3,0.044,-5.7,-0.3
"1894",32,49,1087,366,274,49,22.2,7.5,5.6,1,1.5,0.065,-2.2,-0.1
"1897",35,78,2335,742,296,167,29.9,9.5,3.8,2.1,4.6,0.096,-0.5,0.9
"1898",36,40,372,89,42,41,9.3,2.2,1.1,1,0.2,0.032,-4.5,-0.2
"1899",37,33,262,67,43,19,7.9,2,1.3,0.6,0.3,0.058,-3,-0.1
"1900",38,77,2110,679,214,256,27.4,8.8,2.8,3.3,3,0.069,-2,0
"1902",40,42,360,161,45,63,8.6,3.8,1.1,1.5,0.4,0.057,-1.6,0
"1903",41,29,205,61,14,9,7.1,2.1,0.5,0.3,0.1,0.035,-3.9,-0.1
"1904",42,19,383,121,57,21,20.2,6.4,3,1.1,0.7,0.085,-1.5,0
"1905",43,48,640,225,135,35,13.3,4.7,2.8,0.7,0.4,0.029,-4.7,-0.4
"1906",44,48,987,284,172,31,20.6,5.9,3.6,0.6,0.6,0.031,-3.8,-0.5
"1908",46,64,696,205,124,99,10.9,3.2,1.9,1.5,0.4,0.03,-3.1,-0.2
"1913",51,51,760,343,111,51,14.9,6.7,2.2,1,0.4,0.026,-3.3,-0.3
"1914",52,32,389,186,100,20,12.2,5.8,3.1,0.6,0.8,0.093,-2.5,-0.1
"1915",53,23,168,69,62,7,7.3,3,2.7,0.3,0.8,0.22,1.9,0.2
"1916",54,41,407,154,82,22,9.9,3.8,2,0.5,1.1,0.135,-0.3,0.2
"1917",55,50,1209,416,178,68,24.2,8.3,3.6,1.4,1.2,0.048,-4.3,-0.7
