"","overall_pick","total_games_played","total_minutes_played","total_points","total_rebounds","total_assists","mpg","ppg","rpg","apg","win_shares","ws_per_48","bpm","vorp"
"501",4,1083,37638,20042,8157,1761,34.8,18.5,7.5,1.6,87.8,0.112,0.6,24.5
"502",5,1541,46367,25728,6606,4714,30.1,16.7,4.3,3.1,125.3,0.13,3,57.9
"503",6,438,6243,2085,1640,312,14.3,4.8,3.7,0.7,13.3,0.102,-1.6,0.7
"504",7,788,23188,8266,1810,4611,29.4,10.5,2.3,5.9,38.5,0.08,0.2,12.9
"505",8,727,22368,10242,3039,2290,30.8,14.1,4.2,3.1,32.3,0.069,-0.1,10.7
"507",10,1343,45880,26397,7527,4708,34.2,19.7,5.6,3.5,150,0.157,3.7,65.5
"508",11,591,15133,7147,2737,1249,25.6,12.1,4.6,2.1,29.4,0.093,0.2,8.3
"509",12,587,8789,2882,1955,343,15,4.9,3.3,0.6,12.7,0.07,-3.7,-3.7
"510",13,353,7971,2882,2096,322,22.6,8.2,5.9,0.9,18.2,0.11,-0.7,2.6
"511",14,212,7490,3257,609,553,35.3,15.4,2.9,2.6,9.6,0.061,-1.3,1.3
"512",15,665,17584,7645,3366,907,26.4,11.5,5.1,1.4,41.9,0.114,-0.6,6.2
"513",16,243,3970,1081,295,524,16.3,4.4,1.2,2.2,2.4,0.03,-3.1,-1.1
"516",19,552,11062,4017,1457,443,20,7.3,2.6,0.8,18.7,0.081,-1.8,0.5
"517",20,113,2130,817,308,124,18.8,7.2,2.7,1.1,0.2,0.004,-4.4,-1.3
"518",21,736,21927,9912,2550,2426,29.8,13.5,3.5,3.3,28,0.061,-0.8,6.3
"519",22,608,10910,2876,2841,288,17.9,4.7,4.7,0.5,15.8,0.07,-2.5,-1.5
"520",23,554,12564,4710,943,1727,22.7,8.5,1.7,3.1,19.7,0.075,-1.8,0.6
"521",24,249,4145,1448,604,252,16.6,5.8,2.4,1,3.1,0.036,-2.5,-0.5
"523",26,68,752,283,80,36,11.1,4.2,1.2,0.5,1.1,0.071,-3.9,-0.4
"525",28,153,2191,835,259,143,14.3,5.5,1.7,0.9,-0.9,-0.019,-4.8,-1.6
"526",29,1005,15891,5827,4708,375,15.8,5.8,4.7,0.4,34.3,0.104,-2.6,-2.2
"527",30,127,1301,401,223,62,10.2,3.2,1.8,0.5,1.4,0.051,-3.3,-0.4
"528",31,649,15955,6953,2697,1150,24.6,10.7,4.2,1.8,35.1,0.106,0.7,10.8
"531",34,325,5351,1892,518,765,16.5,5.8,1.6,2.4,8.8,0.079,-0.7,1.7
"533",36,358,4771,1540,1099,118,13.3,4.3,3.1,0.3,2.9,0.029,-4.9,-3.5
"536",39,671,19392,6799,1891,3202,28.9,10.1,2.8,4.8,32.9,0.081,0,9.6
"538",41,747,27618,11964,2902,2015,37,16,3.9,2.7,52.2,0.091,-0.1,12.9
"540",43,334,5913,1954,1944,63,17.7,5.9,5.8,0.2,10.4,0.085,-3.2,-1.8
"541",44,230,2275,638,501,50,9.9,2.8,2.2,0.2,2.6,0.055,-5,-1.7
"542",45,73,698,241,126,43,9.6,3.3,1.7,0.6,1,0.072,-3.5,-0.3
"543",46,40,304,120,67,16,7.6,3,1.7,0.4,0.7,0.114,-1.9,0
"544",47,1,3,4,0,2,3,4,0,2,0.1,1.367,51.1,0
"545",48,43,397,99,79,10,9.2,2.3,1.8,0.2,0.2,0.028,-6.7,-0.5
"546",49,42,624,171,49,66,14.9,4.1,1.2,1.6,-1.2,-0.089,-8.2,-1
"549",52,82,687,253,133,63,8.4,3.1,1.6,0.8,0.6,0.045,-2.2,0
"550",53,570,10895,2878,1593,719,19.1,5,2.8,1.3,20.9,0.092,-0.9,3
"551",54,103,1233,301,228,54,12,2.9,2.2,0.5,2.1,0.08,-2,0
"552",55,507,6502,1319,1060,250,12.8,2.6,2.1,0.5,12.4,0.092,-0.8,2
"553",56,30,331,97,47,22,11,3.2,1.6,0.7,-0.2,-0.025,-4.8,-0.2
"555",58,105,831,286,175,26,7.9,2.7,1.7,0.2,2.3,0.134,-1.2,0.2
"556",1,1058,34910,16827,9040,2184,33,15.9,8.5,2.1,109.6,0.151,2.2,37.3
"557",2,576,21632,10446,3215,3473,37.6,18.1,5.6,6,54.1,0.12,2.2,22.7
"558",3,835,28592,13447,3183,6025,34.2,16.1,3.8,7.2,63.1,0.106,2.6,33.1
"559",4,961,32131,12781,8059,3554,33.4,13.3,8.4,3.7,77,0.115,1.9,31.4
"561",6,651,20052,9195,2602,1532,30.8,14.1,4,2.4,53.3,0.127,0.7,13.6
"562",7,921,29559,15708,2852,3125,32.1,17.1,3.1,3.4,62.8,0.102,-0.2,13.2
"563",8,1304,40268,16278,4795,8524,30.9,12.5,3.7,6.5,100.8,0.12,1.3,33.4
"564",9,1163,40097,17700,10101,2198,34.5,15.2,8.7,1.9,124.9,0.15,2.7,47.6
"565",10,1410,42034,18881,3274,5415,29.8,13.4,2.3,3.8,102,0.116,1.5,37.4
"566",11,119,1738,647,159,152,14.6,5.4,1.3,1.3,2.9,0.079,-1.1,0.4
"568",13,827,23358,13198,4022,1696,28.2,16,4.9,2.1,62.2,0.128,0.3,13.3
"569",14,142,1205,379,93,199,8.5,2.7,0.7,1.4,-0.9,-0.034,-5.6,-1.1
"571",16,991,31440,13058,4448,2631,31.7,13.2,4.5,2.7,61.1,0.093,1.2,25.4
"572",17,142,1383,424,272,29,9.7,3,1.9,0.2,1.8,0.061,-3.2,-0.4
"573",18,864,23260,7419,4061,1413,26.9,8.6,4.7,1.6,51.6,0.107,0.3,13.7
"574",19,159,1853,567,210,96,11.7,3.6,1.3,0.6,0.8,0.02,-4.9,-1.4
"575",20,294,6132,2407,897,455,20.9,8.2,3.1,1.5,5.8,0.045,-1.8,0.3
"576",21,764,15750,3747,5248,703,20.6,4.9,6.9,0.9,47.5,0.145,-0.4,6.3
"577",22,632,17306,5876,4341,975,27.4,9.3,6.9,1.5,31.2,0.086,-1.3,3.1
"578",23,630,11682,3536,1975,543,18.5,5.6,3.1,0.9,18.2,0.075,-1.5,1.4
"580",25,43,261,68,46,11,6.1,1.6,1.1,0.3,0,-0.003,-7,-0.3
"581",26,199,3789,1381,373,534,19,6.9,1.9,2.7,2.2,0.028,-2.4,-0.3
"582",27,471,9780,3325,1987,408,20.8,7.1,4.2,0.9,15.1,0.074,-1.2,2.1
"583",28,448,5613,1874,1227,325,12.5,4.2,2.7,0.7,13.2,0.113,-0.4,2.3
"585",30,16,185,37,11,20,11.6,2.3,0.7,1.3,-0.1,-0.038,-7.6,-0.3
"587",32,414,5966,716,1632,250,14.4,1.7,3.9,0.6,6.8,0.055,-3.3,-2
"588",33,70,1005,224,73,167,14.4,3.2,1,2.4,0.5,0.025,-4.5,-0.6
"590",35,366,4477,1190,1010,151,12.2,3.3,2.8,0.4,8,0.086,-1.8,0.3
"592",37,143,1516,510,383,31,10.6,3.6,2.7,0.2,1.7,0.054,-5.4,-1.3
"593",38,135,1537,441,209,166,11.4,3.3,1.5,1.2,0.7,0.021,-2.1,0
"596",41,472,7207,1726,1638,260,15.3,3.7,3.5,0.6,11.7,0.078,-2.7,-1.3
"598",43,306,5820,2622,936,298,19,8.6,3.1,1,8,0.066,-2,0
"600",45,1,25,5,0,0,25,5,0,0,0,-0.022,-5.4,0
"608",53,230,4182,1472,598,179,18.2,6.4,2.6,0.8,2.9,0.033,-3.8,-1.9
"614",1,757,23134,9325,5159,1439,30.6,12.3,6.8,1.9,48,0.1,0.1,12.1
"615",2,547,10804,4582,2535,275,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1
"617",4,289,6032,2782,1340,352,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6
"618",5,1032,27812,10973,4376,2666,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8
"619",6,344,5930,2121,769,304,17.2,6.2,2.2,0.9,6.4,0.052,-1.6,0.6
"620",7,436,8758,3262,2302,223,20.1,7.5,5.3,0.5,13.3,0.073,-3.9,-4.3
"621",8,1327,38994,19419,2948,4541,29.4,14.6,2.2,3.4,60.7,0.075,-0.1,18.4
"622",9,592,11733,2293,3665,256,19.8,3.9,6.2,0.4,23,0.094,-1.7,0.8
"623",10,728,14134,5067,964,1601,19.4,7,1.3,2.2,18.5,0.063,-2,-0.2
"624",11,145,1392,386,395,38,9.6,2.7,2.7,0.3,2.1,0.074,-2.9,-0.3
"626",13,187,4067,1690,409,227,21.7,9,2.2,1.2,4.1,0.048,-3.7,-1.7
"627",14,167,1863,609,175,310,11.2,3.6,1,1.9,-0.8,-0.021,-5.6,-1.7
"628",15,151,2178,841,443,51,14.4,5.6,2.9,0.3,1.9,0.042,-5.4,-1.9
"630",17,643,19641,7767,2863,1049,30.5,12.1,4.5,1.6,23.1,0.056,-2.4,-2.1
"631",18,783,20785,8032,3666,1138,26.5,10.3,4.7,1.5,32.8,0.076,-0.4,8.5
"632",19,680,14621,4917,4408,386,21.5,7.2,6.5,0.6,27.7,0.091,-2.9,-3.1
"633",20,334,8548,3096,830,1441,25.6,9.3,2.5,4.3,14.2,0.08,-0.3,3.6
"634",21,711,19366,7628,2483,1090,27.2,10.7,3.5,1.5,35.7,0.089,-0.4,7.6
"635",22,205,3318,1150,827,161,16.2,5.6,4,0.8,4.7,0.069,-2.6,-0.5
"639",26,69,858,262,225,8,12.4,3.8,3.3,0.1,1.8,0.101,-4.2,-0.5
"641",28,27,266,77,21,40,9.9,2.9,0.8,1.5,0.2,0.027,-3.7,-0.1
"642",29,453,5335,975,1157,181,11.8,2.2,2.6,0.4,8.2,0.074,-4.1,-2.9
"644",31,133,1253,393,199,39,9.4,3,1.5,0.3,0.3,0.012,-4.6,-0.8
"645",32,80,1246,442,80,147,15.6,5.5,1,1.8,0.3,0.01,-2.9,-0.3
"646",33,450,6443,1814,1539,237,14.3,4,3.4,0.5,11.6,0.087,-3.8,-3
"647",34,50,936,314,81,145,18.7,6.3,1.6,2.9,0.6,0.03,-2.4,-0.1
"648",35,17,180,51,22,10,10.6,3,1.3,0.6,-0.1,-0.033,-4.2,-0.1
"650",37,717,12405,5356,1223,1112,17.3,7.5,1.7,1.6,20,0.077,0,6.1
"651",38,619,11213,3052,2307,493,18.1,4.9,3.7,0.8,24.7,0.106,-0.9,3
"652",39,61,446,195,45,13,7.3,3.2,0.7,0.2,-0.2,-0.025,-5,-0.3
"653",40,155,2360,715,442,75,15.2,4.6,2.9,0.5,0.9,0.019,-5.9,-2.3
"656",43,629,20104,11972,2411,1338,32,19,3.8,2.1,55.9,0.134,2.2,21.4
"657",44,456,6477,2108,1050,465,14.2,4.6,2.3,1,15.4,0.114,-0.1,3.2
"658",45,108,1063,329,178,66,9.8,3,1.6,0.6,1.3,0.058,-4.3,-0.6
"662",49,341,5289,1623,567,774,15.5,4.8,1.7,2.3,8.6,0.078,-1.2,1
"663",50,19,85,22,12,2,4.5,1.2,0.6,0.1,0.1,0.055,-3,0
"668",55,51,1147,440,189,61,22.5,8.6,3.7,1.2,0.2,0.008,-4.5,-0.7
"676",5,857,29241,14644,4245,2284,34.1,17.1,5,2.7,59.1,0.097,1.2,23.8
"677",6,977,30004,8408,4082,1717,30.7,8.6,4.2,1.8,75.7,0.121,1.7,28.2
"678",7,303,6729,2171,1744,236,22.2,7.2,5.8,0.8,10.9,0.078,-0.4,2.8
"680",9,218,3354,1540,485,237,15.4,7.1,2.2,1.1,1.8,0.026,-2.2,-0.1
"681",10,1277,44236,20407,5059,5001,34.6,16,4,3.9,82.9,0.09,0.4,26.5
"682",11,143,1935,509,347,103,13.5,3.6,2.4,0.7,3,0.074,-1.1,0.4
"684",13,1181,34293,14904,4720,2412,29,12.6,4,2,83,0.116,0.2,19.4
"685",14,729,19921,7860,5708,1088,27.3,10.8,7.8,1.5,50.3,0.121,0.1,10.6
"686",15,400,5993,1817,1264,79,15,4.5,3.2,0.2,10.6,0.085,-2.3,-0.5
"687",16,27,134,32,27,8,5,1.2,1,0.3,-0.5,-0.197,-13.3,-0.4
"688",17,173,2016,483,591,93,11.7,2.8,3.4,0.5,2,0.047,-4,-1
"689",18,735,14974,2621,2706,626,20.4,3.6,3.7,0.9,20.1,0.064,-3.7,-6.5
"690",19,1116,34616,18578,10208,2049,31,16.6,9.1,1.8,81.1,0.112,0.2,18.8
"691",20,816,18680,5538,4875,442,22.9,6.8,6,0.5,43.8,0.113,-1.4,2.9
"692",21,25,125,30,17,17,5,1.2,0.7,0.7,-0.4,-0.166,-8.6,-0.2
"693",22,82,1061,204,191,67,12.9,2.5,2.3,0.8,0.7,0.032,-2.5,-0.1
"694",23,108,699,239,63,24,6.5,2.2,0.6,0.2,-0.6,-0.039,-8,-1
"696",25,832,24731,9933,4838,1725,29.7,11.9,5.8,2.1,59.7,0.116,1.8,23.5
"697",26,886,21646,6814,6942,465,24.4,7.7,7.8,0.5,51.3,0.114,-1.1,4.6
"698",27,547,14443,4652,1605,3330,26.4,8.5,2.9,6.1,17.2,0.057,0,7.1
"700",30,644,16278,3741,1826,1132,25.3,5.8,2.8,1.8,13.8,0.041,-2.9,-3.7
"701",31,552,19351,11402,2168,2909,35.1,20.7,3.9,5.3,51.3,0.127,2.6,22.3
"702",32,22,213,37,13,46,9.7,1.7,0.6,2.1,-0.1,-0.021,-2.7,0
"703",33,115,1584,584,132,225,13.8,5.1,1.1,2,0,0,-3.3,-0.5
"704",34,139,1934,472,377,93,13.9,3.4,2.7,0.7,1,0.025,-2.8,-0.4
"705",35,520,6772,1594,1034,436,13,3.1,2,0.8,7.6,0.054,-2.7,-1.2
"706",36,31,270,88,43,22,8.7,2.8,1.4,0.7,-0.2,-0.038,-2.8,-0.1
"707",37,39,351,108,52,19,9,2.8,1.3,0.5,-0.7,-0.1,-8.6,-0.6
"710",40,878,19494,5593,1985,3871,22.2,6.4,2.3,4.4,19.2,0.047,-1.4,2.8
"711",41,54,468,89,50,56,8.7,1.6,0.9,1,0,-0.001,-2.4,0
"712",42,466,11513,4189,1791,710,24.7,9,3.8,1.5,20.1,0.084,-0.7,3.6
"715",45,45,550,203,94,33,12.2,4.5,2.1,0.7,1.1,0.096,-1.7,0
"716",46,215,2428,555,682,74,11.3,2.6,3.2,0.3,3.1,0.062,-2.5,-0.3
"723",53,542,8542,2095,1579,419,15.8,3.9,2.9,0.8,15.7,0.088,-3.1,-2.5
"724",54,75,1062,321,95,176,14.2,4.3,1.3,2.3,-1.1,-0.051,-4.1,-0.6
"730",2,75,1961,714,195,350,26.1,9.5,2.6,4.7,0.8,0.02,-2,0
"731",3,986,27340,11048,4211,2185,27.7,11.2,4.3,2.2,58.5,0.103,0.3,15.7
"732",4,790,20127,8653,5618,896,25.5,11,7.1,1.1,43.9,0.105,-1.2,4.3
"734",6,103,2202,964,142,195,21.4,9.4,1.4,1.9,0,0,-4.9,-1.6
"736",8,628,12474,5150,3076,455,19.9,8.2,4.9,0.7,26.9,0.103,-1.6,1.2
"738",10,881,28333,12430,4387,2007,32.2,14.1,5,2.3,50.9,0.086,-0.2,12.6
"739",11,629,13579,3003,2563,798,21.6,4.8,4.1,1.3,13.1,0.046,-2.4,-1.5
"740",12,375,6005,1992,1215,261,16,5.3,3.2,0.7,4,0.032,-4,-3.1
"741",13,89,854,311,131,16,9.6,3.5,1.5,0.2,0.5,0.026,-4.7,-0.6
"742",14,430,10299,3206,958,990,24,7.5,2.2,2.3,16.5,0.077,-1,2.6
"745",17,436,8509,3678,816,775,19.5,8.4,1.9,1.8,6.1,0.034,-2.1,-0.3
"746",18,83,1117,258,278,64,13.5,3.1,3.3,0.8,1,0.041,-3.8,-0.5
"747",19,85,772,197,189,18,9.1,2.3,2.2,0.2,-0.4,-0.027,-8.1,-1.2
"748",20,346,5956,2213,572,353,17.2,6.4,1.7,1,1.7,0.013,-3.2,-1.8
"749",21,167,2060,691,385,105,12.3,4.1,2.3,0.6,1.4,0.032,-2.7,-0.4
"750",22,287,5320,1488,516,304,18.5,5.2,1.8,1.1,6.2,0.056,-2.2,-0.3
"751",23,1017,31576,11272,4332,2406,31,11.1,4.3,2.4,63.1,0.096,0.3,18
"753",25,86,952,253,77,166,11.1,2.9,0.9,1.9,0.1,0.003,-3.2,-0.3
"754",26,895,23672,8292,2603,2183,26.4,9.3,2.9,2.4,33.9,0.069,-0.9,6.7
"755",27,72,861,281,88,29,12,3.9,1.2,0.4,-0.5,-0.03,-5.5,-0.8
"756",28,300,4617,1745,405,752,15.4,5.8,1.4,2.5,5.9,0.061,-1.5,0.6
"758",31,518,9147,3289,897,677,17.7,6.3,1.7,1.3,13,0.068,-1.4,1.4
"760",33,59,1381,406,162,130,23.4,6.9,2.7,2.2,1,0.035,-2.4,-0.1
"761",34,527,7793,2465,2326,196,14.8,4.7,4.4,0.4,15.8,0.097,-2.3,-0.7
"762",35,861,26901,13976,8192,1928,31.2,16.2,9.5,2.2,80.3,0.143,1.4,23.1
"765",38,9,35,11,7,5,3.9,1.2,0.8,0.6,0,-0.011,-1.4,0
"769",42,487,11077,4817,1006,1096,22.7,9.9,2.1,2.3,8.5,0.037,-2.2,-0.5
"771",44,162,1884,637,477,40,11.6,3.9,2.9,0.2,2.9,0.075,-4.6,-1.2
"773",46,929,21967,7589,4281,1691,23.6,8.2,4.6,1.8,42.8,0.093,-0.1,10.7
"774",47,72,631,142,242,26,8.8,2,3.4,0.4,1.4,0.106,-2.3,-0.1
"777",50,495,9229,3415,1689,589,18.6,6.9,3.4,1.2,15.9,0.083,-2.1,-0.2
"780",53,809,17219,6092,1934,658,21.3,7.5,2.4,0.8,20.8,0.058,-1.4,2.6
"781",54,66,517,173,70,31,7.8,2.6,1.1,0.5,-0.3,-0.029,-5.7,-0.5
"788",3,1260,43514,28289,7808,3422,34.5,22.5,6.2,2.7,108.5,0.12,1.3,36.7
"789",4,893,31936,17189,7592,1795,35.8,19.2,8.5,2,106,0.159,1.9,31.1
"790",5,1054,35773,23165,4933,5701,33.9,22,4.7,5.4,120.7,0.162,5,62.8
"791",6,735,19642,8208,5582,921,26.7,11.2,7.6,1.3,24.6,0.06,-1.9,0.4
"792",7,879,27015,9594,2576,4245,30.7,10.9,2.9,4.8,52.5,0.093,0,13.3
"793",8,429,11882,4797,1331,2495,27.7,11.2,3.1,5.8,16.9,0.068,-0.4,4.6
"794",9,233,3610,1516,1045,145,15.5,6.5,4.5,0.6,7.8,0.103,-2.7,-0.6
"795",10,427,9898,3553,1330,459,23.2,8.3,3.1,1.1,10.2,0.049,-2.5,-1.3
"797",12,910,18603,5359,4701,939,20.4,5.9,5.2,1,44.5,0.115,-1.3,3.1
"798",13,348,5571,2061,519,728,16,5.9,1.5,2.1,6.6,0.057,-2,-0.1
"799",14,830,21623,7740,1877,3713,26.1,9.3,2.3,4.5,36,0.08,-0.6,7.5
"800",15,71,605,123,53,50,8.5,1.7,0.7,0.7,-0.6,-0.049,-6.1,-0.6
"801",16,6,34,11,4,4,5.7,1.8,0.7,0.7,-0.2,-0.326,-19.6,-0.2
"803",18,1034,29144,14034,6590,2273,28.2,13.6,6.4,2.2,85.9,0.141,1.7,27.6
"805",20,624,9799,3353,1082,529,15.7,5.4,1.7,0.8,9.9,0.048,-3.7,-4.1
"809",24,421,5649,2312,1115,252,13.4,5.5,2.6,0.6,10.2,0.086,-1.6,0.5
"814",29,507,15350,7270,2886,817,30.3,14.3,5.7,1.6,38,0.119,0.6,10
"816",31,509,9068,3398,844,417,17.8,6.7,1.7,0.8,10.3,0.055,-2.6,-1.3
"817",32,564,9685,2649,1588,1317,17.2,4.7,2.8,2.3,13.5,0.067,-1,2.5
"822",37,41,507,123,70,19,12.4,3,1.7,0.5,0.2,0.019,-6.2,-0.5
"823",38,870,20823,5662,1816,3446,23.9,6.5,2.1,4,29.1,0.067,-1.2,4.2
"826",41,731,14783,6059,1303,1018,20.2,8.3,1.8,1.4,12.9,0.042,-2.7,-2.7
"828",43,671,14527,4257,1817,866,21.6,6.3,2.7,1.3,20.4,0.068,-1.5,1.9
"830",45,792,13356,4632,2371,552,16.9,5.8,3,0.7,38.5,0.138,1,10.1
"832",47,818,23872,10759,2264,3990,29.2,13.2,2.8,4.9,40,0.08,-0.3,10
"834",49,709,11098,3717,1276,366,15.7,5.2,1.8,0.5,25.2,0.109,-0.1,5.4
"836",51,1232,31183,11953,3643,2114,25.3,9.7,3,1.7,73.4,0.113,0.6,20.7
"841",56,67,630,220,187,22,9.4,3.3,2.8,0.3,0.7,0.055,-3.7,-0.3
"845",2,616,19055,7370,5967,520,30.9,12,9.7,0.8,45.3,0.114,-0.6,6.8
"846",3,744,20366,11084,1851,1868,27.4,14.9,2.5,2.5,33.3,0.078,-0.3,8.7
"848",5,985,23963,10597,2151,3869,24.3,10.8,2.2,3.9,54.9,0.11,0.6,15.5
"849",6,391,10432,3548,1850,609,26.7,9.1,4.7,1.6,25.7,0.118,0.8,7.4
"850",7,902,30941,13361,5468,2042,34.3,14.8,6.1,2.3,74,0.115,0.9,22.9
"851",8,139,1585,389,395,41,11.4,2.8,2.8,0.3,-0.4,-0.013,-7.2,-2.1
"852",9,1223,39394,13951,6030,5128,32.2,11.4,4.9,4.2,100.3,0.122,2.2,41.3
"853",10,73,724,252,89,58,9.9,3.5,1.2,0.8,0.2,0.01,-3.7,-0.3
"857",14,800,14232,5350,4314,556,17.8,6.7,5.4,0.7,30.3,0.102,-1.7,1.2
"859",16,211,3540,1333,491,241,16.8,6.3,2.3,1.1,4.5,0.061,-1.2,0.7
"863",20,878,24539,9940,2595,4508,27.9,11.3,3,5.1,48.3,0.094,-0.1,11.6
"867",24,432,11842,4198,1265,1540,27.4,9.7,2.9,3.6,24.5,0.099,0.9,8.7
"868",25,820,18055,6654,2884,1077,22,8.1,3.5,1.3,38.7,0.103,0.3,10.4
"869",26,714,21559,12396,2278,1352,30.2,17.4,3.2,1.9,61.3,0.137,1,16.1
"874",31,87,1111,285,261,51,12.8,3.3,3,0.6,0,0.001,-5.1,-0.9
"876",33,36,433,111,31,51,12,3.1,0.9,1.4,-0.2,-0.025,-5.3,-0.4
"877",34,61,560,165,66,48,9.2,2.7,1.1,0.8,0.5,0.043,-3.2,-0.2
"878",35,14,73,20,8,1,5.2,1.4,0.6,0.1,0.1,0.04,-5.5,-0.1
"879",36,81,789,186,49,104,9.7,2.3,0.6,1.3,0.1,0.004,-5,-0.6
"880",37,492,6162,1641,557,501,12.5,3.3,1.1,1,4.5,0.035,-3.8,-2.7
"881",38,606,15526,3946,1364,2690,25.6,6.5,2.3,4.4,25,0.077,-1.2,3.2
"883",40,136,1436,472,186,68,10.6,3.5,1.4,0.5,0.5,0.016,-5.9,-1.4
"886",43,1118,32953,11593,5356,2379,29.5,10.4,4.8,2.1,64.3,0.094,0.6,21.8
"888",45,128,1909,576,315,126,14.9,4.5,2.5,1,2,0.049,-2,0
"896",53,42,588,133,85,27,14,3.2,2,0.6,-0.6,-0.047,-6,-0.6
"898",55,16,77,35,3,11,4.8,2.2,0.2,0.7,0,-0.02,-4.8,0
"903",1,706,19862,6808,6112,1546,28.1,9.6,8.7,2.2,50.6,0.122,1.2,16
"904",2,1072,30159,10965,5546,1373,28.1,10.2,5.2,1.3,65.1,0.104,-0.4,12.3
"905",3,845,28865,13804,2619,6819,34.2,16.3,3.1,8.1,77.3,0.129,1.9,28.3
"906",4,1155,39896,20936,5206,10977,34.5,18.1,4.5,9.5,198.9,0.239,7.3,93.7
"907",5,971,28829,10853,2867,5096,29.7,11.2,3,5.2,40.2,0.067,-0.6,10.1
"909",7,656,13578,6808,3019,549,20.7,10.4,4.6,0.8,22.6,0.08,-0.6,4.7
"910",8,890,19772,7786,4002,864,22.2,8.7,4.5,1,38.9,0.094,-0.4,8
"911",9,225,2795,1348,689,69,12.4,6,3.1,0.3,6.5,0.112,-3,-0.7
"915",13,119,1868,821,481,115,15.7,6.9,4,1,2.6,0.068,-1.7,0.2
"916",14,249,5037,2479,506,331,20.2,10,2,1.3,3.6,0.035,-1.7,0.4
"917",15,297,5714,1614,681,295,19.2,5.4,2.3,1,3.1,0.026,-3.7,-2.4
"918",16,377,6117,2239,1058,207,16.2,5.9,2.8,0.5,7.8,0.061,-3.6,-2.4
"919",17,586,18487,9855,2888,1097,31.5,16.8,4.9,1.9,48.5,0.126,1.8,17.7
"921",19,526,10624,4947,2117,400,20.2,9.4,4,0.8,20.4,0.092,-1.9,0.4
"923",21,618,13878,6807,1446,1826,22.5,11,2.3,3,27.8,0.096,0.5,8.6
"924",22,867,24140,9349,2487,3952,27.8,10.8,2.9,4.6,36.8,0.073,-0.9,6.5
"925",23,549,11853,4323,1400,747,21.6,7.9,2.6,1.4,18.2,0.074,-0.1,5.7
"926",24,348,7797,2842,845,747,22.4,8.2,2.4,2.1,14.7,0.09,0.1,4.2
"928",26,618,11379,3481,2576,266,18.4,5.6,4.2,0.4,20.3,0.086,-2.5,-1.4
"929",27,409,8185,3561,1470,321,20,8.7,3.6,0.8,13.6,0.08,-2.3,-0.7
"932",30,829,24293,11232,7320,1825,29.3,13.5,8.8,2.2,76,0.15,1.1,19.2
"933",31,157,2672,1260,214,164,17,8,1.4,1,2.2,0.04,-2.9,-0.6
"934",32,127,1683,431,158,174,13.3,3.4,1.2,1.4,0.8,0.024,-3,-0.4
"935",33,758,16410,6575,3448,608,21.6,8.7,4.5,0.8,42.8,0.125,-0.8,5.1
"939",37,473,8020,2209,1757,618,17,4.7,3.7,1.3,19.2,0.115,0.3,4.7
"940",38,179,2660,854,243,432,14.9,4.8,1.4,2.4,5.6,0.102,-0.4,1.1
"941",39,200,2475,1054,234,146,12.4,5.3,1.2,0.7,3.3,0.064,-1.8,0.1
"949",47,26,325,129,39,20,12.5,5,1.5,0.8,0.5,0.068,-1.6,0
"952",50,487,13463,4926,2239,712,27.6,10.1,4.6,1.5,19.4,0.069,-1.6,1.4
"955",53,131,1555,326,195,155,11.9,2.5,1.5,1.2,-0.7,-0.022,-4.6,-1
"956",54,16,93,45,19,3,5.8,2.8,1.2,0.2,0.2,0.102,-0.5,0
"957",55,87,1150,334,310,35,13.2,3.8,3.6,0.4,2.5,0.106,-1.9,0
"962",60,30,234,81,29,16,7.8,2.7,1,0.5,-0.2,-0.043,-5.3,-0.2
"964",2,1076,36242,20558,8736,2076,33.7,19.1,8.1,1.9,115.7,0.153,1.7,33.4
"965",3,161,3278,1200,342,222,20.4,7.5,2.1,1.4,-1.4,-0.021,-5,-2.4
"966",4,402,7932,3093,1938,347,19.7,7.7,4.8,0.9,13,0.078,-1.2,1.7
"967",5,361,5586,1618,1562,163,15.5,4.5,4.3,0.5,9.9,0.085,-3,-1.5
"968",6,326,11561,6136,1388,1517,35.5,18.8,4.3,4.7,37.4,0.155,3.6,16.3
"969",7,752,19279,7729,1686,2112,25.6,10.3,2.2,2.8,23.5,0.058,-1.2,3.8
"970",8,1064,33745,17349,6120,2223,31.7,16.3,5.8,2.1,60.7,0.086,0.7,22.8
"971",9,90,524,186,127,25,5.8,2.1,1.4,0.3,0.5,0.046,-4.6,-0.3
"973",11,940,23964,12028,1903,1862,25.5,12.8,2,2,63.7,0.128,0.6,16
"974",12,292,3378,880,766,102,11.6,3,2.6,0.3,3.9,0.055,-4.1,-1.8
"976",14,502,11539,3940,1427,828,23,7.8,2.8,1.6,30.4,0.127,1.6,10.6
"978",16,299,4600,1778,588,132,15.4,5.9,2,0.4,6.2,0.064,-1.6,0.5
"979",17,314,5368,1769,945,220,17.1,5.6,3,0.7,6.7,0.06,-2.2,-0.3
"981",19,143,1535,588,152,93,10.7,4.1,1.1,0.7,0,0,-3.5,-0.6
"982",20,221,3064,894,769,132,13.9,4,3.5,0.6,7.2,0.113,0.1,1.6
"983",21,957,28570,9337,4349,7584,29.9,9.8,4.5,7.9,61.8,0.104,1.2,23.2
