"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1523",242,21,"MidtoLateFirst","OtherCollege","Western"
"1524",453,22,"MidtoLateFirst","OtherCollege","Eastern"
"1525",305,23,"MidtoLateFirst","OtherCollege","Western"
"1526",455,24,"MidtoLateFirst","PowerSchool","Eastern"
"1527",184,25,"MidtoLateFirst","OtherCollege","Western"
"1529",396,27,"MidtoLateFirst","OtherCollege","Western"
"1530",45,28,"MidtoLateFirst","OtherCollege","Eastern"
"1531",59,29,"MidtoLateFirst","OtherCollege","Eastern"
"1532",367,30,"MidtoLateFirst","PowerSchool","Western"
"1533",327,31,"SecondRound","NonCollegiate","Western"
"1534",458,32,"SecondRound","PowerSchool","Western"
"1535",64,33,"SecondRound","OtherCollege","Eastern"
"1536",41,34,"SecondRound","OtherCollege","Western"
"1537",306,35,"SecondRound","NonCollegiate","Eastern"
"1538",30,36,"SecondRound","OtherCollege","Western"
"1539",376,37,"SecondRound","OtherCollege","Eastern"
"1540",91,38,"SecondRound","PowerSchool","Eastern"
"1542",438,40,"SecondRound","OtherCollege","Eastern"
"1543",417,41,"SecondRound","OtherCollege","Eastern"
"1545",127,43,"SecondRound","OtherCollege","Eastern"
"1546",145,44,"SecondRound","PowerSchool","Western"
"1548",421,46,"SecondRound","PowerSchool","Eastern"
"1550",31,48,"SecondRound","PowerSchool","Western"
"1558",6,56,"SecondRound","OtherCollege","Western"
"1563",275,1,"Top5","OtherCollege","Eastern"
"1564",368,2,"Top5","PowerSchool","Western"
"1565",403,3,"Top5","OtherCollege","Eastern"
"1566",187,4,"Top5","NonCollegiate","Western"
"1567",245,5,"Top5","OtherCollege","Western"
"1568",468,6,"Lottery","OtherCollege","Western"
"1569",345,7,"Lottery","PowerSchool","Western"
"1570",292,8,"Lottery","OtherCollege","Western"
"1571",416,9,"Lottery","OtherCollege","Eastern"
"1572",263,10,"Lottery","NonCollegiate","Eastern"
"1573",415,11,"Lottery","OtherCollege","Eastern"
"1574",370,12,"Lottery","OtherCollege","Western"
"1575",39,13,"Lottery","NonCollegiate","Western"
"1576",256,14,"Lottery","OtherCollege","Eastern"
"1577",297,15,"MidtoLateFirst","NonCollegiate","Western"
"1578",74,16,"MidtoLateFirst","NonCollegiate","Eastern"
"1579",56,17,"MidtoLateFirst","OtherCollege","Western"
"1580",83,18,"MidtoLateFirst","OtherCollege","Eastern"
"1581",336,19,"MidtoLateFirst","OtherCollege","Western"
"1582",318,20,"MidtoLateFirst","OtherCollege","Eastern"
"1583",296,21,"MidtoLateFirst","OtherCollege","Eastern"
"1584",70,22,"MidtoLateFirst","OtherCollege","Eastern"
